intersection,road,intersection_key,road_key
สุวรรณภูมิ,สุวรรณภูมิ4,สุวรรณภูมิ,สุวรรณภูมิ4
สุวรรณภูมิ,ลาดกระบัง,สุวรรณภูมิ,ลาดกระบัง
สุขุมวิท24,ซอยสุขุมวิท24,สุขุมวิท24,ซอยสุขุมวิท24
สุขุมวิท24,สุขุมวิท,สุขุมวิท24,สุขุมวิท
สุขุมวิท26,ซอยสุขุมวิท26,สุขุมวิท26,ซอยสุขุมวิท26
สุขุมวิท26,สุขุมวิท,สุขุมวิท26,สุขุมวิท
วัดสน,ซอยสุขสวัสดิ์35,วัดสน,ซอยสุขสวัสดิ์35
วัดสน,สุขสวัสดิ์,วัดสน,สุขสวัสดิ์
ใต้ด่วนพระราม4,เชื้อเพลิง,ใต้ด่วนพระราม4,เชื้อเพลิง
ใต้ด่วนพระราม4,ทางด่วน,ใต้ด่วนพระราม4,ทางด่วน
ใต้ด่วนพระราม4,พระรามที่4,ใต้ด่วนพระราม4,พระรามที่4
สุขุมวิท11,ซอยสุขุมวิท11,สุขุมวิท11,ซอยสุขุมวิท11
สุขุมวิท11,สุขุมวิท,สุขุมวิท11,สุขุมวิท
สุขุมวิท22,ซอยสุขุมวิท22,สุขุมวิท22,ซอยสุขุมวิท22
สุขุมวิท22,สุขุมวิท,สุขุมวิท22,สุขุมวิท
สะพานเหลือง,พระรามที่4,สะพานเหลือง,พระรามที่4
สะพานเหลือง,ซอยพระยาดำรงค์,สะพานเหลือง,ซอยพระยาดำรงค์
สะพานเหลือง,บรรทัดทอง,สะพานเหลือง,บรรทัดทอง
เอกมัยเหนือ,เอกมัย,เอกมัยเหนือ,เอกมัย
เอกมัยเหนือ,เพชรบุรี,เอกมัยเหนือ,เพชรบุรี
บางขุนนนท์,จรัญสนิทวงศ์,บางขุนนนท์,จรัญสนิทวงศ์
บางขุนนนท์,บางกอกน้อยตลิ่งชัน,บางขุนนนท์,บางกอกน้อยตลิ่งชัน
บางขุนนนท์,ซอยจรัญสนิทวงศ์32,บางขุนนนท์,ซอยจรัญสนิทวงศ์32
ปากซอยอ่อนนุช69,อ่อนนุช,ปากซอยอ่อนนุช69,อ่อนนุช
อ่อนนุช86(ทางเข้าโรงขยะอ่อนช),ซอยอ่อนนุช86,อ่อนนุช86(ทางเข้าโรงขยะอ่อนช),ซอยอ่อนนุช86
อ่อนนุช86(ทางเข้าโรงขยะอ่อนช),อ่อนนุช,อ่อนนุช86(ทางเข้าโรงขยะอ่อนช),อ่อนนุช
YMCA,ศาลาแดง,YMCA,ศาลาแดง
YMCA,สาทร,YMCA,สาทร
