code,vehicle,before_mean_vph,after_mean_vph,mean_vph_difference
L03,passenger_car,1520.5,2166.6666666666665,646.1666666666665
L03,pickup_van,426.25,532.0,105.75
L03,large_bus,80.0,66.16666666666667,-13.833333333333329
L03,small_bus,27.25,3.8333333333333335,-23.416666666666668
L03,truck,14.0,23.5,9.5
L03,tuk_tuk,32.5,42.0,9.5
L13,passenger_car,1626.0,1027.8333333333333,-598.1666666666667
L13,pickup_van,123.25,257.1666666666667,133.91666666666669
L13,large_bus,1.75,1.1666666666666667,-0.5833333333333333
L13,small_bus,0.0,0.0,0.0
L13,truck,4.25,6.833333333333333,2.583333333333333
L13,tuk_tuk,0.75,1.6666666666666667,0.9166666666666669
L14,passenger_car,2755.0,1972.0,-783.0
L14,pickup_van,610.25,421.3333333333333,-188.91666666666669
L14,large_bus,34.75,12.333333333333334,-22.416666666666664
L14,small_bus,0.0,1.6666666666666667,1.6666666666666667
L14,truck,26.0,31.33333333333333,5.333333333333332
L14,tuk_tuk,2.75,2.0,-0.75
