intersection_key,road_key,time_key,ก่อนโควิด,โควิด,หลังโควิด
BRTสถานีสาทร,นราธิวาสราชนครินทร์,07:00-09:00,0,0,1
BRTสถานีสาทร,นราธิวาสราชนครินทร์,09:00-17:00,0,0,1
BRTสถานีสาทร,นราธิวาสราชนครินทร์,17:00-19:00,0,0,1
YMCA,ศาลาแดง,07:00-09:00,1,0,0
YMCA,ศาลาแดง,09:00-16:00,1,0,0
YMCA,ศาลาแดง,16:00-19:00,1,0,0
YMCA,สาทร,07:00-09:00,1,0,0
YMCA,สาทร,09:00-16:00,1,0,0
YMCA,สาทร,16:00-19:00,1,0,0
ก.ม.8,ซอยรามอินทรา73,07:00-09:00,2,0,0
ก.ม.8,ซอยรามอินทรา73,09:00-16:00,2,0,0
ก.ม.8,ซอยรามอินทรา73,16:00-19:00,2,0,0
ก.ม.8,นวมินทร์,07:00-09:00,2,0,0
ก.ม.8,นวมินทร์,09:00-16:00,2,0,0
ก.ม.8,นวมินทร์,16:00-19:00,2,0,0
ก.ม.8,รามอินทรา,07:00-09:00,2,0,0
ก.ม.8,รามอินทรา,09:00-16:00,2,0,0
ก.ม.8,รามอินทรา,16:00-19:00,2,0,0
กทม.1,ดินสอ,07:00-09:00,0,0,1
กทม.1,ดินสอ,09:00-16:00,0,0,1
กทม.1,ดินสอ,16:00-19:00,0,0,1
กทม.1,มหรรณพ,07:00-09:00,0,0,1
กทม.1,มหรรณพ,09:00-16:00,0,0,1
กทม.1,มหรรณพ,16:00-19:00,0,0,1
กม.8,นวมินทร์,07:00-09:00,0,0,2
กม.8,นวมินทร์,09:00-16:00,0,0,1
กม.8,นวมินทร์,09:00-17:00,0,0,1
กม.8,นวมินทร์,16:00-19:00,0,0,1
กม.8,นวมินทร์,17:00-19:00,0,0,1
กม.8,รามอินทรา,07:00-09:00,0,0,2
กม.8,รามอินทรา,09:00-16:00,0,0,1
กม.8,รามอินทรา,09:00-17:00,0,0,1
กม.8,รามอินทรา,16:00-19:00,0,0,1
กม.8,รามอินทรา,17:00-19:00,0,0,1
กม.8,รามอินทรา73,07:00-09:00,0,0,2
กม.8,รามอินทรา73,09:00-16:00,0,0,1
กม.8,รามอินทรา73,09:00-17:00,0,0,1
กม.8,รามอินทรา73,16:00-19:00,0,0,1
กม.8,รามอินทรา73,17:00-19:00,0,0,1
กรมพลาธกิารทหารอากาศ,ซอยพลโยธนิ54/1,07:00-09:00,0,1,0
กรมพลาธกิารทหารอากาศ,ซอยพลโยธนิ54/1,09:00-16:00,0,1,0
กรมพลาธกิารทหารอากาศ,ซอยพลโยธนิ54/1,16:00-19:00,0,1,0
กรมพลาธกิารทหารอากาศ,ทางเข้าพลาธิการทอ.,07:00-09:00,0,1,0
กรมพลาธกิารทหารอากาศ,ทางเข้าพลาธิการทอ.,09:00-16:00,0,1,0
กรมพลาธกิารทหารอากาศ,ทางเข้าพลาธิการทอ.,16:00-19:00,0,1,0
กรมพลาธกิารทหารอากาศ,พหลโยธิน,07:00-09:00,0,1,0
กรมพลาธกิารทหารอากาศ,พหลโยธิน,09:00-16:00,0,1,0
กรมพลาธกิารทหารอากาศ,พหลโยธิน,16:00-19:00,0,1,0
กรมพลาธิการทหารอากาศ,ซอยพลโยธิน54/1,07:00-09:00,0,1,0
กรมพลาธิการทหารอากาศ,ซอยพลโยธิน54/2,09:00-16:00,0,1,0
กรมพลาธิการทหารอากาศ,ซอยพลโยธิน54/3,16:00-19:00,0,1,0
กรมพลาธิการทหารอากาศ,ทางเข้ากรมพลาธิการฯ,07:00-09:00,0,0,1
