intersection_key,road_key,report_quarter,time_key,ก่อนโควิด,โควิด,หลังโควิด
คลองเตย,พระรามที่4,4,07:00-09:00,1,1,1
คลองเตย,สุนทรโกษา,4,07:00-09:00,1,1,1
คอกวัว,ตะนาว,3,07:00-09:00,2,2,2
คอกวัว,ตะนาว,3,09:00-16:00,2,2,1
คอกวัว,ตะนาว,3,16:00-19:00,2,2,1
คอกวัว,ราชดำเนินกลาง,3,07:00-09:00,2,2,2
คอกวัว,ราชดำเนินกลาง,3,09:00-16:00,2,2,1
คอกวัว,ราชดำเนินกลาง,3,16:00-19:00,2,2,1
จันทน์-นราธิวาส,จันทน์,3,09:00-16:00,1,1,1
จันทน์-นราธิวาส,จันทน์,3,16:00-19:00,1,1,1
ดาวคะนอง,จอมทอง,1,07:00-09:00,1,1,1
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,1,07:00-09:00,1,1,1
ด่วนเพลินจิต,ทางขึ้นลงทางด่วน,2,07:00-09:00,1,1,1
ทองหล่อ,สุขุมวิท,4,07:00-09:00,2,1,1
นางเลิ้ง,นครสวรรค์,3,09:00-16:00,1,1,1
นางเลิ้ง,พิษณุโลก,3,07:00-09:00,1,1,1
นางเลิ้ง,พิษณุโลก,3,09:00-16:00,1,1,1
นางเลิ้ง,พิษณุโลก,3,16:00-19:00,1,1,1
บางรัก,สีลม,2,07:00-09:00,1,1,1
บางรัก,เจริญกรุง,2,07:00-09:00,1,1,1
ประตูน้ำ,ราชดำริ,3,07:00-09:00,1,2,1
ประตูน้ำ,ราชปรารภ,3,07:00-09:00,1,2,1
ประตูน้ำ,เพชรบุรี,3,07:00-09:00,1,2,1
ประเวศ,อ่อนนุช,2,09:00-16:00,1,1,1
ประเสริฐมนูกิจ-ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,1,07:00-09:00,1,1,1
ประเสริฐมนูกิจ-ประดิษฐ์มนูธรรม,ประเสริฐมนูกิจ,1,07:00-09:00,1,1,1
พัฒนาการ,พัฒนาการ,2,07:00-09:00,2,1,1
พัฒนาการ,ศรีนครินทร์,2,07:00-09:00,2,1,1
พุทธมณฑลสาย2,พุทธมณฑลสาย2,2,07:00-09:00,1,1,1
พุทธมณฑลสาย2,พุทธมณฑลสาย2,2,09:00-16:00,1,1,1
พุทธมณฑลสาย2,พุทธมณฑลสาย2,2,16:00-19:00,1,1,1
พุทธมณฑลสาย2,เพชรเกษม,2,07:00-09:00,1,1,1
พุทธมณฑลสาย2,เพชรเกษม,2,09:00-16:00,1,1,1
พุทธมณฑลสาย2,เพชรเกษม,2,16:00-19:00,1,1,1
ยุคล2,ยุคล2,4,07:00-09:00,1,1,1
ราชดำริ,ราชดำริ,2,07:00-09:00,2,1,1
ราชดำริ,สารสิน,2,07:00-09:00,2,1,1
ราชเทวี,เพชรบุรี,2,07:00-09:00,1,1,1
รามคำแหง,พระราม9,3,07:00-09:00,1,1,2
รามคำแหง,พระราม9,3,09:00-16:00,1,1,1
รามคำแหง,พระราม9,3,16:00-19:00,1,1,1
รามคำแหง,รามคำแหง,3,07:00-09:00,1,1,2
รามคำแหง,รามคำแหง,3,09:00-16:00,1,1,1
รามคำแหง,รามคำแหง,3,16:00-19:00,1,1,1
วัดสน,สุขสวัสดิ์,1,07:00-09:00,1,1,1
ศรีอยุธยา,พระรามที่6,4,07:00-09:00,1,1,1
ศรีอยุธยา,ศรีอยุธยา,4,07:00-09:00,1,1,1
สะพานควาย,ประดิพัทธ์,3,07:00-09:00,1,1,1
สะพานควาย,พหลโยธิน,3,07:00-09:00,1,1,1
สะพานควาย,สุทธิสาร,3,07:00-09:00,1,1,1
สาธุประดิษฐ์,พระรามที่3,2,07:00-09:00,1,1,2
สาธุประดิษฐ์,พระรามที่3,2,09:00-16:00,1,1,1
สาธุประดิษฐ์,พระรามที่3,2,16:00-19:00,1,1,1
สาธุประดิษฐ์,สาธุประดิษฐ์,2,09:00-16:00,1,1,1
สามเสน,นครไชยศรี,4,07:00-09:00,1,1,1
สามเสน,สวรรคโลก,4,07:00-09:00,1,1,1
สามเสน,เทอดดำริ,4,07:00-09:00,1,1,1
หมอมี,พระรามที่4,4,07:00-09:00,1,1,1
หมอมี,เจริญกรุง,4,07:00-09:00,1,1,1
หมอเหล็ง,ศรีอยุธยา,2,07:00-09:00,1,1,2
หลักสี่,กำแพงเพชร6,2,07:00-09:00,1,2,1
หลักสี่,แจ้งวัฒนะ,2,07:00-09:00,1,2,1
หัวลำโพง,พระรามที่4,1,07:00-09:00,1,1,1
หัวลำโพง,มหาพฤฒาราม,1,07:00-09:00,1,1,1
ห้วยขวาง,รัชดาภิเษก,4,07:00-09:00,1,1,1
อนามัย,พลับพลาไชย,4,07:00-09:00,1,1,1
อุรุพงษ์,พระรามที่6,2,07:00-09:00,1,1,1
อุรุพงษ์,เพชรบุรี,2,07:00-09:00,1,1,1
เกษมราษฎร์,พระรามที่4,2,07:00-09:00,1,1,1
เกษมราษฎร์,พระรามที่4,2,09:00-16:00,1,1,1
เกษมราษฎร์,พระรามที่4,2,16:00-19:00,1,1,1
เกษมราษฎร์,เกษมราษฎร์,2,09:00-16:00,1,1,1
เตาปูน,ประชาราษฎร์สาย2,3,07:00-09:00,1,1,1
แบริ่ง,สุขุมวิท,4,07:00-09:00,1,1,1
โพธิ์สามต้น,วังเดิม,3,07:00-09:00,1,1,1
โพธิ์สามต้น,อิสรภาพ,3,07:00-09:00,1,1,1
