source_excel_row,covid_period,intersection,road,report_year,report_month,report_day,survey_date_parsed,time_key,has_assumed_zero
23,ก่อนโควิด,วัดสน,สุขสวัสดิ์,2017,3,6,2017-03-06,07:00-09:00,False
95,ก่อนโควิด,หัวลำโพง,มหาพฤฒาราม,2017,3,17,2017-03-17,07:00-09:00,False
98,ก่อนโควิด,หัวลำโพง,พระรามที่4,2017,3,17,2017-03-17,07:00-09:00,False
192,ก่อนโควิด,ประเวศ,อ่อนนุช,2017,4,7,2017-04-07,09:00-16:00,False
215,ก่อนโควิด,พัฒนาการ,ศรีนครินทร์,2017,4,20,2017-04-20,07:00-09:00,False
218,ก่อนโควิด,พัฒนาการ,พัฒนาการ,2017,4,20,2017-04-20,07:00-09:00,False
260,ก่อนโควิด,ราชดำริ,ราชดำริ,2017,4,27,2017-04-27,07:00-09:00,False
263,ก่อนโควิด,ราชดำริ,สารสิน,2017,4,27,2017-04-27,07:00-09:00,False
450,ก่อนโควิด,สาธุประดิษฐ์,สาธุประดิษฐ์,2017,6,5,2017-06-05,09:00-16:00,False
452,ก่อนโควิด,สาธุประดิษฐ์,พระรามที่3,2017,6,5,2017-06-05,07:00-09:00,False
453,ก่อนโควิด,สาธุประดิษฐ์,พระรามที่3,2017,6,5,2017-06-05,09:00-16:00,False
454,ก่อนโควิด,สาธุประดิษฐ์,พระรามที่3,2017,6,5,2017-06-05,16:00-19:00,False
479,ก่อนโควิด,พุทธมณฑลสาย2,พุทธมณฑลสาย2,2017,6,12,2017-06-12,07:00-09:00,False
480,ก่อนโควิด,พุทธมณฑลสาย2,พุทธมณฑลสาย2,2017,6,12,2017-06-12,09:00-16:00,False
481,ก่อนโควิด,พุทธมณฑลสาย2,พุทธมณฑลสาย2,2017,6,12,2017-06-12,16:00-19:00,False
482,ก่อนโควิด,พุทธมณฑลสาย2,เพชรเกษม,2017,6,12,2017-06-12,07:00-09:00,False
483,ก่อนโควิด,พุทธมณฑลสาย2,เพชรเกษม,2017,6,12,2017-06-12,09:00-16:00,False
484,ก่อนโควิด,พุทธมณฑลสาย2,เพชรเกษม,2017,6,12,2017-06-12,16:00-19:00,False
509,ก่อนโควิด,หลักสี่,กำแพงเพชร6,2017,6,19,2017-06-19,07:00-09:00,False
