intersection_key,road_key,ก่อนโควิด,โควิด,หลังโควิด
BRTสถานีสาทร,นราธิวาสราชนครินทร์,0,0,3
YMCA,ศาลาแดง,3,0,0
YMCA,สาทร,3,0,0
ก.ม.8,ซอยรามอินทรา73,6,0,0
ก.ม.8,นวมินทร์,6,0,0
ก.ม.8,รามอินทรา,6,0,0
กทม.1,ดินสอ,0,0,3
กทม.1,มหรรณพ,0,0,3
กม.11,กำแพงเพชร2,0,0,6
กม.11,นิคมรถไฟสาย1,0,0,6
กม.8,นวมินทร์,0,0,6
กม.8,รามอินทรา,0,0,6
กม.8,รามอินทรา73,0,0,6
กรมพลาธกิารทหารอากาศ,ซอยพลโยธนิ54/1,0,3,0
กรมพลาธกิารทหารอากาศ,ทางเข้าพลาธิการทอ.,0,3,0
กรมพลาธกิารทหารอากาศ,พหลโยธิน,0,3,0
กรมพลาธิการทหารอากาศ,ซอยพลโยธิน54/1,0,1,0
กรมพลาธิการทหารอากาศ,ซอยพลโยธิน54/2,0,1,0
กรมพลาธิการทหารอากาศ,ซอยพลโยธิน54/3,0,1,0
กรมพลาธิการทหารอากาศ,ทางเข้ากรมพลาธิการฯ,0,0,3
กรมพลาธิการทหารอากาศ,ทางเข้าพลาธิการทอ.,0,3,0
กรมพลาธิการทหารอากาศ,พหลโยธิน,0,3,2
กรมพลาธิการทหารอากาศ,พหลโยธิน54/1,0,0,3
กรมศุลกากร,สุนทรโกษา,6,3,0
กรมศุลกากร,อาจณรงค์,6,3,0
กรมศุลกากร,เกษมราษฎร์,6,3,0
กระทรวงแรงงาน,มิตรไมตรี,3,0,0
กระทรวงแรงงาน,มิตรไมตรี1,3,0,0
กรุงธนบุรี,กรุงธนบุรี,0,0,3
กรุงธนบุรี6,กรุงธนบุรี,0,0,3
กรุงธนบุรี6,กรุงธนบุรี6,0,0,3
กรุงธนบุรีเหนือ,กรุงธนบุรี,0,0,6
กรุงธนบุรีเหนือ,เจริญนคร,0,0,6
กรุงธนบุรีใต้,กรุงธนบุรี,0,0,6
กรุงธนบุรีใต้,เจริญนคร,0,0,6
กรุงเทพกรีฑา,กรุงเทพกรีฑา,3,3,0
กรุงเทพกรีฑา,ศรีนครินทร์,3,3,0
กรุงเทพกรีฑา,หัวหมาก,3,3,0
กรุงเทพกรีฑา-ศรีนครินทร์ร่มเกล้า,ซอยกรุงเทพกรีฑา7,0,0,3
กรุงเทพกรีฑา-ศรีนครินทร์ร่มเกล้า,ถนนกรุงเทพกรีฑา(EB),0,0,3
กรุงเทพกรีฑา-ศรีนครินทร์ร่มเกล้า,ถนนกรุงเทพกรีฑา(NB),0,0,3
กรุงเทพกรีฑา-ศรีนครินทร์ร่มเกล้า,ถนนศรีนครินทร์-ร่มเกล้า,0,0,3
กรุงเทพกรีฑา-หมู่บ้านนักกีฬาแหลมทอง,กรุงเทพกรีฑา,0,0,3
กรุงเทพกรีฑา-หมู่บ้านนักกีฬาแหลมทอง,หมู่บ้านนักกีฬาแหลมทอง,0,0,3
กรุงเทพกรีฑา20,กรุงเทพกรีฑา,0,0,6
กรุงเทพกรีฑา20,กรุงเทพกรีฑา20,0,0,6
กรุงเทพกรีฑา20,กรุงเทพกรีฑา37,0,0,6
กลางซอยแบริ่ง,แบริ่ง,0,0,3
กลางซอยแบริ่ง,แบริ่งลาซาล,0,0,3
กล้วยน้ำไท,กล้วยน้ำไท,0,0,3
กล้วยน้ำไท,กล้วยน้ำไทตัดใหม่,3,3,0
กล้วยน้ำไท,พระรามที่4,3,3,6
กล้วยน้ำไท,รัชดาภิเษก,0,0,3
กล้วยน้ำไท,เทียมร่วมมิตร,0,0,3
กษัตริย์ศึก,กรุงเกษม,6,0,9
กษัตริย์ศึก,บำรุงเมือง,6,0,9
