report_year,time_period,start_time,end_time,period_hours,rows
2017,นอกเร่งด่วน ( 09.00-16.00 ),09:00,16:00,7.0,474
2017,เร่งด่วนเช้า ( 07.00-09.00 ),07:00,09:00,2.0,474
2017,เร่งด่วนเย็น ( 16:00-19:00 ),16:00,19:00,3.0,474
2018,นอกเร่งด่วน ( 09.00-16.00 ),09:00,16:00,7.0,557
2018,เร่งด่วนเช้า ( 06.30-09.00 ),06:30,09:00,2.5,79
2018,เร่งด่วนเช้า ( 07.00-09.00 ),07:00,09:00,2.0,478
2018,เร่งด่วนเย็น ( 16:00-19:00 ),16:00,19:00,3.0,478
2018,เร่งด่วนเย็น ( 16:00-19:30 ),16:00,19:30,3.5,79
2019,นอกเร่งด่วน ( 09.00-16.00 ),09:00,16:00,7.0,608
2019,เร่งด่วนเช้า ( 06.30-09.00 ),06:30,09:00,2.5,68
2019,เร่งด่วนเช้า ( 07.00-09.00 ),07:00,09:00,2.0,540
2019,เร่งด่วนเย็น ( 16:00-19:00 ),16:00,19:00,3.0,540
2019,เร่งด่วนเย็น ( 16:00-19:30 ),16:00,19:30,3.5,68
2020,นอกเร่งด่วน ( 09.00-16.00 ),09:00,16:00,7.0,591
2020,เร่งด่วนเช้า ( 06.30-09.00 ),06:30,09:00,2.5,90
2020,เร่งด่วนเช้า ( 07.00-09.00 ),07:00,09:00,2.0,496
2020,เร่งด่วนเย็น ( 16:00-19:00 ),16:00,19:00,3.0,497
2020,เร่งด่วนเย็น ( 16:00-19:30 ),16:00,19:30,3.5,94
2021,นอกเร่งด่วน ( 09.00-16.00 ),09:00,16:00,7.0,712
2021,เร่งด่วนเช้า ( 07.00-09.00 ),07:00,09:00,2.0,712
2021,เร่งด่วนเย็น ( 16:00-19:00 ),16:00,19:00,3.0,712
2022,นอกเร่งด่วน ( 09.00-16.00 ),09:00,16:00,7.0,683
2022,เร่งด่วนเช้า ( 07.00-09.00 ),07:00,09:00,2.0,683
2022,เร่งด่วนเย็น ( 16:00-19:00 ),16:00,19:00,3.0,682
2023,นอกเร่งด่วน ( 09.00-16.00 ),09:00,16:00,7.0,26
2023,นอกเร่งด่วน ( 09.00-17.00 ),09:00,17:00,8.0,615
2023,เร่งด่วนเช้า ( 07.00-09.00 ),07:00,09:00,2.0,641
2023,เร่งด่วนเย็น ( 16:00-19:00 ),16:00,19:00,3.0,27
2023,เร่งด่วนเย็น ( 17.00-19.00 ),17:00,19:00,2.0,614
2024,นอกเร่งด่วน ( 09.00-17.00 ),09:00,17:00,8.0,625
2024,เร่งด่วนเช้า ( 07.00-09.00 ),07:00,09:00,2.0,625
2024,เร่งด่วนเย็น ( 17.00-19.00 ),17:00,19:00,2.0,625
2025,นอกเร่งด่วน ( 09.00-17.00 ),09:00,17:00,8.0,687
2025,เร่งด่วนเช้า ( 07.00-09.00 ),07:00,09:00,2.0,687
2025,เร่งด่วนเย็น ( 17.00-19.00 ),17:00,19:00,2.0,688
2026,นอกเร่งด่วน ( 09.00-17.00 ),09:00,17:00,8.0,237
2026,เร่งด่วนเช้า ( 07.00-09.00 ),07:00,09:00,2.0,237
2026,เร่งด่วนเย็น ( 17.00-19.00 ),17:00,19:00,2.0,237
