source_excel_row,id,survey_date,Date,month,year,covid_period,intersection,road,period,time_period,passenger_car,pickup_van,large_bus,small_bus,truck,tuk_tuk,Unnamed: 16,Unnamed: 17,source_sha256,source_sheet,intersection_key,road_key,report_day,report_month,report_year,report_date,survey_date_parsed,survey_month,survey_year,report_quarter,start_time,end_time,period_hours,time_key,passenger_car_clean,passenger_car_zero_assumed,pickup_van_clean,pickup_van_zero_assumed,large_bus_clean,large_bus_zero_assumed,small_bus_clean,small_bus_zero_assumed,truck_clean,truck_zero_assumed,tuk_tuk_clean,tuk_tuk_zero_assumed,has_assumed_zero,numeric_unresolved,numeric_negative,numeric_fractional,exact_repeat,repeated_survey_key,repeated_report_key,candidate_eligible
2,1,1/3/2017,1,3,2017,ก่อนโควิด,สุวรรณภูมิ,สุวรรณภูมิ 4,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),1624,837,26,1,10,1,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุวรรณภูมิ,สุวรรณภูมิ 4,1,3,2017,2017-03-01,2017-03-01,3,2017,1,07:00,09:00,2.0,07:00-09:00,1624.0,False,837.0,False,26.0,False,1,False,10,False,1,False,False,False,False,False,False,False,False,True
3,2,1/3/2017,1,3,2017,ก่อนโควิด,สุวรรณภูมิ,สุวรรณภูมิ 4,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),5009,2781,130,0,118,4,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุวรรณภูมิ,สุวรรณภูมิ 4,1,3,2017,2017-03-01,2017-03-01,3,2017,1,09:00,16:00,7.0,09:00-16:00,5009.0,False,2781.0,False,130.0,False,0,False,118,False,4,False,False,False,False,False,False,False,False,True
4,3,1/3/2017,1,3,2017,ก่อนโควิด,สุวรรณภูมิ,สุวรรณภูมิ 4,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),2147,1386,49,0,36,2,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุวรรณภูมิ,สุวรรณภูมิ 4,1,3,2017,2017-03-01,2017-03-01,3,2017,1,16:00,19:00,3.0,16:00-19:00,2147.0,False,1386.0,False,49.0,False,0,False,36,False,2,False,False,False,False,False,False,False,False,True
5,4,1/3/2017,1,3,2017,ก่อนโควิด,สุวรรณภูมิ,ลาดกระบัง,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),3788,1948,70,3,42,2,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุวรรณภูมิ,ลาดกระบัง,1,3,2017,2017-03-01,2017-03-01,3,2017,1,07:00,09:00,2.0,07:00-09:00,3788.0,False,1948.0,False,70.0,False,3,False,42,False,2,False,False,False,False,False,False,False,False,True
6,5,1/3/2017,1,3,2017,ก่อนโควิด,สุวรรณภูมิ,ลาดกระบัง,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),10859,7205,356,18,549,10,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุวรรณภูมิ,ลาดกระบัง,1,3,2017,2017-03-01,2017-03-01,3,2017,1,09:00,16:00,7.0,09:00-16:00,10859.0,False,7205.0,False,356.0,False,18,False,549,False,10,False,False,False,False,False,False,False,False,True
7,6,1/3/2017,1,3,2017,ก่อนโควิด,สุวรรณภูมิ,ลาดกระบัง,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),5096,3393,229,12,87,7,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุวรรณภูมิ,ลาดกระบัง,1,3,2017,2017-03-01,2017-03-01,3,2017,1,16:00,19:00,3.0,16:00-19:00,5096.0,False,3393.0,False,229.0,False,12,False,87,False,7,False,False,False,False,False,False,False,False,True
8,7,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท24,ซ.สุขุมวิท 24,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),561,193,0,0,2,7,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท24,ซ.สุขุมวิท 24,3,3,2017,2017-03-03,2017-03-03,3,2017,1,07:00,09:00,2.0,07:00-09:00,561.0,False,193.0,False,0.0,False,0,False,2,False,7,False,False,False,False,False,False,False,False,True
9,8,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท24,ซ.สุขุมวิท 24,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),1983,787,0,0,17,25,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท24,ซ.สุขุมวิท 24,3,3,2017,2017-03-03,2017-03-03,3,2017,1,09:00,16:00,7.0,09:00-16:00,1983.0,False,787.0,False,0.0,False,0,False,17,False,25,False,False,False,False,False,False,False,False,True
10,9,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท24,ซ.สุขุมวิท 24,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),948,345,0,0,6,6,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท24,ซ.สุขุมวิท 24,3,3,2017,2017-03-03,2017-03-03,3,2017,1,16:00,19:00,3.0,16:00-19:00,948.0,False,345.0,False,0.0,False,0,False,6,False,6,False,False,False,False,False,False,False,False,True
11,10,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท24,สุขุมวิท,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),3856,912,106,7,17,14,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท24,สุขุมวิท,3,3,2017,2017-03-03,2017-03-03,3,2017,1,07:00,09:00,2.0,07:00-09:00,3856.0,False,912.0,False,106.0,False,7,False,17,False,14,False,False,False,False,False,False,False,False,True
