intersection_key,road_key,Before,During,After,after_change_pct,location_code,n_Before,n_During,n_After,total_n
ถนนตก,พระรามที่ 3,3651.75,3224.0,3010.25,-17.56691996987746,L01,2,2,2,6
ถนนตก,เจริญกรุง,1173.5,1023.5,1049.75,-10.545377077119722,L02,2,2,2,6
บางขุนนนท์,จรัญสนิทวงศ์,2100.5,3054.0,2893.0,37.72911211616281,L03,2,2,3,7
บางยี่เรือ,เทอดไท,733.0,887.0,504.5,-31.17326057298773,L04,2,2,3,7
ประชาอุทิศ,ประชาอุทิศ,1541.5,1727.5,1216.5,-21.083360363282523,L05,3,2,4,9
พระราม 9,พระราม 9,2119.25,2331.5,2489.25,17.45900672407692,L06,2,2,2,6
พระราม 9,รัชดาภิเษก,3268.5,3777.25,3590.5,9.85161389016369,L07,2,2,2,6
พระราม 9,อโศกดินแดง,2929.5,3192.25,3029.75,3.4220856801501887,L08,2,2,2,6
มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี,1360.75,946.5,667.0,-50.98291383428257,L09,2,3,3,8
มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี 2,984.75,1024.0,957.0,-2.817974105102816,L10,2,3,3,8
วิสุทธิกษัตริย์,ประชาธิปไตย,1122.0,749.5,875.75,-21.947415329768276,L11,2,2,2,6
วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,4115.5,2446.25,3400.0,-17.385493864657995,L12,2,2,2,6
หลักสี่,กำแพงเพชร 6,1756.0,1391.0,1061.5,-39.5501138952164,L13,2,2,3,7
หลักสี่,แจ้งวัฒนะ,3428.75,2503.25,2450.0,-28.54538826102807,L14,2,2,3,7
ห้วยขวาง,ประชาสงเคราะห์,641.0,1010.5,485.25,-24.29797191887676,L15,2,2,4,8
ห้วยขวาง,รัชดาภิเษก,6511.5,3306.75,6106.0,-6.227443753359441,L16,2,2,5,9
เตาปูน,ประชาราษฎร์สาย 2,1537.75,1212.0,1525.5,-0.7966184360266637,L17,2,2,2,6
