location_code,intersection_key,road_key,n_Before,n_During,n_After,time_key,Before,During,After
L09,มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี,2,3,3,07:00-09:00,100.0,69.55722946904281,49.01708616571743
L13,หลักสี่,กำแพงเพชร 6,2,2,3,07:00-09:00,100.0,79.21412300683372,60.4498861047836
L04,บางยี่เรือ,เทอดไท,2,2,3,07:00-09:00,100.0,121.00954979536154,68.82673942701227
L14,หลักสี่,แจ้งวัฒนะ,2,2,3,07:00-09:00,100.0,73.00765585125775,71.45461173897193
L15,ห้วยขวาง,ประชาสงเคราะห์,2,2,4,07:00-09:00,100.0,157.6443057722309,75.70202808112325
L11,วิสุทธิกษัตริย์,ประชาธิปไตย,2,2,2,07:00-09:00,100.0,66.80035650623886,78.05258467023172
L05,ประชาอุทิศ,ประชาอุทิศ,3,2,4,07:00-09:00,100.0,112.0661693156017,78.91663963671748
L01,ถนนตก,พระรามที่ 3,2,2,2,07:00-09:00,100.0,88.28643800917368,82.43308003012254
L12,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,2,2,2,07:00-09:00,100.0,59.43992224517069,82.614506135342
L02,ถนนตก,เจริญกรุง,2,2,2,07:00-09:00,100.0,87.21772475500639,89.45462292288028
L16,ห้วยขวาง,รัชดาภิเษก,2,2,5,07:00-09:00,100.0,50.78322967058282,93.77255624664056
L10,มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี 2,2,3,3,07:00-09:00,100.0,103.985783193704,97.18202589489718
L17,เตาปูน,ประชาราษฎร์สาย 2,2,2,2,07:00-09:00,100.0,78.8164526093318,99.20338156397334
L08,พระราม 9,อโศกดินแดง,2,2,2,07:00-09:00,100.0,108.96910735620412,103.4220856801502
L07,พระราม 9,รัชดาภิเษก,2,2,2,07:00-09:00,100.0,115.56524399571668,109.85161389016368
L06,พระราม 9,พระราม 9,2,2,2,07:00-09:00,100.0,110.0153356140144,117.45900672407691
L03,บางขุนนนท์,จรัญสนิทวงศ์,2,2,3,07:00-09:00,100.0,145.39395382051893,137.7291121161628
