intersection_key,latitude,longitude,During,After,road_units,map_code
จักรพรรดิพงษ์,13.7582471,100.5095265,114.657803129502,124.32291746411651,2,M01
ตรอกจันทน์,13.7100585,100.5112737,82.46996114735227,114.716639485802,2,M02
ทองหล่อ,13.723617,100.57949,121.85210780926054,133.50380096751903,1,M03
ท่าดินแดง,13.7323064,100.5022527,87.49198076429988,92.38998926048812,2,M04
บางกระบือ,13.78936,100.5146193,69.68599033816425,175.52208147894558,3,M05
บางโพ,13.806486,100.5215457,104.05209966833682,123.87064794527285,2,M06
ประชาอุทิศ,13.7698729,100.5864665,137.882399726294,104.53904388880883,2,M07
มิตรสัมพันธ์,13.7499708,100.5544539,90.20561403622261,78.19871010102808,2,M08
ราชวัตร,13.7794575,100.5223134,81.2702527543746,94.36163318211275,1,M09
ราชวิถี,13.7735857,100.5191003,124.65066657246187,114.87969901570717,2,M10
ราชเทวี,13.7531983,100.5316981,91.12769064238026,89.19552366957318,2,M11
วังแดง,13.76836,100.5076045,64.0897212543554,55.6184668989547,1,M12
ศรีย่าน,13.7853492,100.5117902,62.984372261100546,166.92121576797052,2,M13
สะพานควาย,13.7898139,100.5482078,105.97761261222637,80.41871039385339,2,M14
สะพานแดง,13.7934578,100.5299073,88.43243243243244,121.31147540983606,3,M15
สามยอด,13.7469531,100.5031696,82.49491628712553,106.6412694848932,2,M16
สามเสน,13.7761727,100.5283651,110.96571578120913,97.61842449620518,1,M17
อุณากรรณ,13.747057,100.5010887,109.84118364239433,110.1217609821804,2,M18
เกษะโกมล,13.783349,100.5244063,71.58241758241758,94.10745233968804,3,M19
เกียกกาย,13.7972807,100.5213412,81.40350877192982,82.01923076923077,3,M20
เฉลิมกรุง,13.7471239,100.4997484,55.9519630195511,61.41284136586273,2,M21
