intersection_key,road_key,time_key,Before,During,After,osm_id,latitude,longitude,osm_name,osm_connected_roads,accepted,review_rule,osm_url,access_date,inside_bangkok_boundary
จักรพรรดิพงษ์,จักรพรรดิพงษ์,07:00-09:00,100.0,94.4418568545257,76.23039900636547,1699503382,13.7582471,100.5095265,แยกจักรพรรดิพงษ์,จักรพรรดิพงษ์ / นครสวรรค์,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/1699503382,2026-09-14,True
จักรพรรดิพงษ์,นครสวรรค์,07:00-09:00,100.0,134.8737494044783,172.41543592186756,1699503382,13.7582471,100.5095265,แยกจักรพรรดิพงษ์,จักรพรรดิพงษ์ / นครสวรรค์,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/1699503382,2026-09-14,True
ตรอกจันทน์,จันทน์,07:00-09:00,100.0,92.03125,160.9375,3495383061,13.7100585,100.5112737,แยกตรอกจันทน์,จันทน์ / ซอยเจริญกรุง 70 / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/3495383061,2026-09-14,True
ตรอกจันทน์,เจริญกรุง,07:00-09:00,100.0,72.90867229470453,68.495778971604,3495383061,13.7100585,100.5112737,แยกตรอกจันทน์,จันทน์ / ซอยเจริญกรุง 70 / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/3495383061,2026-09-14,True
ทองหล่อ,สุขุมวิท,07:00-09:00,100.0,121.85210780926054,133.50380096751903,303606610,13.723617,100.57949,แยกทองหล่อ, / ซอยสุขุมวิท 55 / สุขุมวิท,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/303606610,2026-09-14,True
ท่าดินแดง,ท่าดินแดง,07:00-09:00,100.0,95.75757575757576,86.524064171123,496755241,13.7323064,100.5022527,แยกท่าดินแดง,ท่าดินแดง / สมเด็จเจ้าพระยา,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/496755241,2026-09-14,True
ท่าดินแดง,สมเด็จเจ้าพระยา,07:00-09:00,100.0,79.226385771024,98.25591434985324,496755241,13.7323064,100.5022527,แยกท่าดินแดง,ท่าดินแดง / สมเด็จเจ้าพระยา,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/496755241,2026-09-14,True
บางกระบือ,สามเสน,07:00-09:00,100.0,97.0900376583362,175.52208147894558,446298019,13.78936,100.5146193,แยกบางกระบือ,สามเสน / อำนวยสงคราม / เขียวไข่กา,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298019,2026-09-14,True
บางกระบือ,อำนวยสงคราม,07:00-09:00,100.0,67.97814207650273,186.775956284153,446298019,13.78936,100.5146193,แยกบางกระบือ,สามเสน / อำนวยสงคราม / เขียวไข่กา,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298019,2026-09-14,True
บางกระบือ,เขียวไข่กา,07:00-09:00,100.0,69.68599033816425,64.73429951690821,446298019,13.78936,100.5146193,แยกบางกระบือ,สามเสน / อำนวยสงคราม / เขียวไข่กา,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298019,2026-09-14,True
บางโพ,ประชาราษฎร์สาย 1,07:00-09:00,100.0,57.88727959697732,79.1404282115869,7265755159,13.806486,100.5215457,แยกบางโพ,ประชาราษฎร์สาย 1 / ประชาราษฎร์สาย 2,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/7265755159,2026-09-14,True
บางโพ,ประชาราษฎร์สาย 2,07:00-09:00,100.0,150.21691973969632,168.6008676789588,7265755159,13.806486,100.5215457,แยกบางโพ,ประชาราษฎร์สาย 1 / ประชาราษฎร์สาย 2,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/7265755159,2026-09-14,True
ประชาอุทิศ,ประชาอุทิศ,07:00-09:00,100.0,112.0661693156017,78.91663963671748,281145536,13.7698729,100.5864665,แยกประชาอุทิศ,ซอยรัชดานิเวศน์ / ประชาอุทิศ / เทียมร่วมมิตร,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/281145536,2026-09-14,True
ประชาอุทิศ,เทียมร่วมมิตร,07:00-09:00,100.0,163.6986301369863,130.1614481409002,281145536,13.7698729,100.5864665,แยกประชาอุทิศ,ซอยรัชดานิเวศน์ / ประชาอุทิศ / เทียมร่วมมิตร,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/281145536,2026-09-14,True
มิตรสัมพันธ์,นิคมมักกะสัน,07:00-09:00,100.0,74.55902306648575,55.56309362279512,61713461,13.7499708,100.5544539,แยกมิตรสัมพันธ์,ซอยสุขุมวิท 3 / นิคมมักกะสัน / เพชรบุรี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/61713461,2026-09-14,True
มิตรสัมพันธ์,เพชรบุรี,07:00-09:00,100.0,105.85220500595946,100.83432657926105,61713461,13.7499708,100.5544539,แยกมิตรสัมพันธ์,ซอยสุขุมวิท 3 / นิคมมักกะสัน / เพชรบุรี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/61713461,2026-09-14,True
ราชวัตร,พระรามที่ 5,07:00-09:00,100.0,81.2702527543746,94.36163318211275,1677796097,13.7794575,100.5223134,แยกราชวัตร,พระรามที่ 5,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/1677796097,2026-09-14,True
ราชวิถี,พระรามที่ 5,07:00-09:00,100.0,121.3532811968718,123.73342400544033,68163665,13.7735857,100.5191003,แยกราชวิถี,พระรามที่ 5 / ราชวิถี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/68163665,2026-09-14,True
ราชวิถี,ราชวิถี,07:00-09:00,100.0,127.94805194805194,106.02597402597402,68163665,13.7735857,100.5191003,แยกราชวิถี,พระรามที่ 5 / ราชวิถี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/68163665,2026-09-14,True
ราชเทวี,พญาไท,07:00-09:00,100.0,82.08393311925589,83.53449230428524,4087023894,13.7531983,100.5316981,แยกราชเทวี,พญาไท / เพชรบุรี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/4087023894,2026-09-14,True
ราชเทวี,เพชรบุรี,07:00-09:00,100.0,100.17144816550464,94.85655503486112,4087023894,13.7531983,100.5316981,แยกราชเทวี,พญาไท / เพชรบุรี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/4087023894,2026-09-14,True
วังแดง,พิษณุโลก,07:00-09:00,100.0,64.0897212543554,55.6184668989547,312063216,13.76836,100.5076045,แยกวังแดง,นครราชสีมา / พิษณุโลก,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/312063216,2026-09-14,True
ศรีย่าน,นครไชยศรี,07:00-09:00,100.0,43.59586316626889,127.80429594272076,373456021,13.7853492,100.5117902,แยกศรีย่าน,นครไชยศรี / สามเสน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/373456021,2026-09-14,True
ศรีย่าน,สามเสน,07:00-09:00,100.0,82.37288135593221,206.03813559322032,373456021,13.7853492,100.5117902,แยกศรีย่าน,นครไชยศรี / สามเสน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/373456021,2026-09-14,True
