source_excel_row,covid_period,intersection,road,report_year,report_month,report_day,survey_date_parsed,time_key,has_assumed_zero
23,ก่อนโควิด,วัดสน,สุขสวัสดิ์,2017,3,6,2017-03-06,07:00-09:00,False
24,ก่อนโควิด,วัดสน,สุขสวัสดิ์,2017,3,6,2017-03-06,09:00-16:00,False
25,ก่อนโควิด,วัดสน,สุขสวัสดิ์,2017,3,6,2017-03-06,16:00-19:00,False
26,ก่อนโควิด,ใต้ด่วนพระราม 4,เชื้อเพลิง,2017,3,7,2017-03-07,07:00-09:00,False
27,ก่อนโควิด,ใต้ด่วนพระราม 4,เชื้อเพลิง,2017,3,7,2017-03-07,09:00-16:00,False
28,ก่อนโควิด,ใต้ด่วนพระราม 4,เชื้อเพลิง,2017,3,7,2017-03-07,16:00-19:00,False
29,ก่อนโควิด,ใต้ด่วนพระราม 4,ทางด่วน,2017,3,7,2017-03-07,07:00-09:00,False
30,ก่อนโควิด,ใต้ด่วนพระราม 4,ทางด่วน,2017,3,7,2017-03-07,09:00-16:00,False
31,ก่อนโควิด,ใต้ด่วนพระราม 4,ทางด่วน,2017,3,7,2017-03-07,16:00-19:00,False
32,ก่อนโควิด,ใต้ด่วนพระราม 4,พระรามที่ 4,2017,3,7,2017-03-07,07:00-09:00,False
33,ก่อนโควิด,ใต้ด่วนพระราม 4,พระรามที่ 4,2017,3,7,2017-03-07,09:00-16:00,False
34,ก่อนโควิด,ใต้ด่วนพระราม 4,พระรามที่ 4,2017,3,7,2017-03-07,16:00-19:00,False
47,ก่อนโควิด,สะพานเหลือง,พระรามที่ 4,2017,3,9,2017-03-09,07:00-09:00,False
48,ก่อนโควิด,สะพานเหลือง,พระรามที่ 4,2017,3,9,2017-03-09,09:00-16:00,False
49,ก่อนโควิด,สะพานเหลือง,พระรามที่ 4,2017,3,9,2017-03-09,16:00-19:00,False
53,ก่อนโควิด,สะพานเหลือง,บรรทัดทอง,2017,3,9,2017-03-09,07:00-09:00,False
54,ก่อนโควิด,สะพานเหลือง,บรรทัดทอง,2017,3,9,2017-03-09,09:00-16:00,False
55,ก่อนโควิด,สะพานเหลือง,บรรทัดทอง,2017,3,9,2017-03-09,16:00-19:00,False
62,ก่อนโควิด,บางขุนนนท์,จรัญสนิทวงศ์,2017,3,13,2017-03-13,07:00-09:00,False
63,ก่อนโควิด,บางขุนนนท์,จรัญสนิทวงศ์,2017,3,13,2017-03-13,09:00-16:00,False
64,ก่อนโควิด,บางขุนนนท์,จรัญสนิทวงศ์,2017,3,13,2017-03-13,16:00-19:00,False
65,ก่อนโควิด,บางขุนนนท์,บางกอกน้อยตลิ่งชัน,2017,3,13,2017-03-13,07:00-09:00,False
66,ก่อนโควิด,บางขุนนนท์,บางกอกน้อยตลิ่งชัน,2017,3,13,2017-03-13,09:00-16:00,False
67,ก่อนโควิด,บางขุนนนท์,บางกอกน้อยตลิ่งชัน,2017,3,13,2017-03-13,16:00-19:00,False
86,ก่อนโควิด,เกษมราษฎร์,เกษมราษฎร์,2017,3,16,2017-03-16,07:00-09:00,False
87,ก่อนโควิด,เกษมราษฎร์,เกษมราษฎร์,2017,3,16,2017-03-16,09:00-16:00,False
88,ก่อนโควิด,เกษมราษฎร์,เกษมราษฎร์,2017,3,16,2017-03-16,16:00-19:00,False
92,ก่อนโควิด,เกษมราษฎร์,พระรามที่ 4,2017,3,16,2017-03-16,07:00-09:00,False
93,ก่อนโควิด,เกษมราษฎร์,พระรามที่ 4,2017,3,16,2017-03-16,09:00-16:00,False
94,ก่อนโควิด,เกษมราษฎร์,พระรามที่ 4,2017,3,16,2017-03-16,16:00-19:00,False
95,ก่อนโควิด,หัวลำโพง,มหาพฤฒาราม,2017,3,17,2017-03-17,07:00-09:00,False
96,ก่อนโควิด,หัวลำโพง,มหาพฤฒาราม,2017,3,17,2017-03-17,09:00-16:00,False
97,ก่อนโควิด,หัวลำโพง,มหาพฤฒาราม,2017,3,17,2017-03-17,16:00-19:00,False
98,ก่อนโควิด,หัวลำโพง,พระรามที่ 4,2017,3,17,2017-03-17,07:00-09:00,False
99,ก่อนโควิด,หัวลำโพง,พระรามที่ 4,2017,3,17,2017-03-17,09:00-16:00,False
100,ก่อนโควิด,หัวลำโพง,พระรามที่ 4,2017,3,17,2017-03-17,16:00-19:00,False
