intersection_key,road_key,time_key,ก่อนโควิด,โควิด,หลังโควิด
การเรือน,ราชวิถี,07:00-09:00,1,1,3
การเรือน,ราชวิถี,09:00-16:00,1,1,1
การเรือน,ราชวิถี,16:00-19:00,1,1,1
การเรือน,ราชสีมา,07:00-09:00,1,1,1
การเรือน,ราชสีมา,09:00-16:00,1,1,1
การเรือน,ราชสีมา,16:00-19:00,1,1,1
กำแพงเพชร,กำแพงเพชร,07:00-09:00,1,1,4
กำแพงเพชร,กำแพงเพชร,09:00-16:00,2,1,2
กำแพงเพชร,กำแพงเพชร,16:00-19:00,1,1,2
กำแพงเพชร,พหลโยธิน,07:00-09:00,2,1,4
กำแพงเพชร,พหลโยธิน,09:00-16:00,2,1,2
กำแพงเพชร,พหลโยธิน,16:00-19:00,2,1,2
ขัตติยานี,พิชัย,07:00-09:00,1,1,3
ขัตติยานี,พิชัย,09:00-16:00,1,1,1
ขัตติยานี,พิชัย,16:00-19:00,1,1,1
ขัตติยานี,สุโขทัย,07:00-09:00,1,1,3
ขัตติยานี,สุโขทัย,09:00-16:00,1,1,1
ขัตติยานี,สุโขทัย,16:00-19:00,1,1,1
คลองตัน,พัฒนาการ,07:00-09:00,2,1,2
คลองตัน,พัฒนาการ,09:00-16:00,2,1,1
คลองตัน,พัฒนาการ,16:00-19:00,2,1,1
คลองตัน,รามคำแหง,07:00-09:00,2,1,2
คลองตัน,รามคำแหง,09:00-16:00,2,1,1
คลองตัน,สุขุมวิท 71,07:00-09:00,2,1,1
คลองตัน,เพชรบุรี,07:00-09:00,2,1,2
คลองตัน,เพชรบุรี,09:00-16:00,2,1,1
คลองประปา,ประชาชื่น,07:00-09:00,1,1,1
คลองประปา,เลียบคลองประปา,07:00-09:00,1,1,1
คลองประปา,แจ้งวัฒนะ,07:00-09:00,1,1,1
คลองสาน,ลาดหญ้า,07:00-09:00,3,1,4
คลองสาน,ลาดหญ้า,09:00-16:00,3,1,1
คลองสาน,ลาดหญ้า,16:00-19:00,3,1,1
คลองสาน,สมเด็จเจ้าพระยา,07:00-09:00,3,1,4
