intersection_key,road_key,survey_month,time_key,ก่อนโควิด,โควิด,หลังโควิด
บางรัก,สีลม,6,07:00-09:00,1,1,1
บางรัก,เจริญกรุง,6,07:00-09:00,1,1,1
พัฒนาการ,พัฒนาการ,4,07:00-09:00,2,1,1
พัฒนาการ,ศรีนครินทร์,4,07:00-09:00,2,1,1
รามคำแหง,พระราม 9,7,07:00-09:00,1,1,1
รามคำแหง,พระราม 9,7,09:00-16:00,1,1,1
รามคำแหง,พระราม 9,7,16:00-19:00,1,1,1
รามคำแหง,รามคำแหง,7,07:00-09:00,1,1,1
รามคำแหง,รามคำแหง,7,09:00-16:00,1,1,1
รามคำแหง,รามคำแหง,7,16:00-19:00,1,1,1
ศรีอยุธยา,พระรามที่ 6,12,07:00-09:00,1,1,1
ศรีอยุธยา,ศรีอยุธยา,12,07:00-09:00,1,1,1
ห้วยขวาง,รัชดาภิเษก,12,07:00-09:00,1,1,1
อุรุพงษ์,พระรามที่ 6,5,07:00-09:00,1,1,1
อุรุพงษ์,เพชรบุรี,5,07:00-09:00,1,1,1
