source_excel_row,id,survey_date,Date,month,year,covid_period,intersection,road,period,time_period,passenger_car,pickup_van,large_bus,small_bus,truck,tuk_tuk,Unnamed: 16,Unnamed: 17,source_sha256,source_sheet,intersection_key,road_key,report_day,report_month,report_year,report_date,survey_date_parsed,survey_month,survey_year,report_quarter,start_time,end_time,period_hours,time_key,passenger_car_clean,passenger_car_zero_assumed,pickup_van_clean,pickup_van_zero_assumed,large_bus_clean,large_bus_zero_assumed,small_bus_clean,small_bus_zero_assumed,truck_clean,truck_zero_assumed,tuk_tuk_clean,tuk_tuk_zero_assumed,has_assumed_zero,numeric_unresolved,numeric_negative,numeric_fractional,exact_repeat,repeated_survey_key,repeated_report_key,candidate_eligible
1781,1780,15/3/2018,15,3,2018,ก่อนโควิด,ใกล้คลองบางจาก,พุทธมณฑลสาย 2,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),2564,1093,130,0,108,37,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ใกล้คลองบางจาก,พุทธมณฑลสาย 2,15,3,2018,2018-03-15,2018-03-15,3,2018,1,07:00,09:00,2.0,07:00-09:00,2564.0,False,1093.0,False,130.0,False,0,False,108,False,37,False,False,False,False,False,False,True,True,False
1784,1783,15/3/2018,15,3,2018,ก่อนโควิด,ใกล้คลองบางจาก,พุทธมณฑลสาย 2,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),1615,845,30,0,153,16,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ใกล้คลองบางจาก,พุทธมณฑลสาย 2,15,3,2018,2018-03-15,2018-03-15,3,2018,1,07:00,09:00,2.0,07:00-09:00,1615.0,False,845.0,False,30.0,False,0,False,153,False,16,False,False,False,False,False,False,True,True,False
4975,4974,10/1/2020,10,1,2020,โควิด,บางกระบือ,อำนวยสงคราม,นอกเร่งด่วน,นอกเร่งด่วน (9.00 - 16.00 น.),1843,602,5,-,25,51,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,บางกระบือ,อำนวยสงคราม,10,1,2020,2020-01-10,2020-01-10,1,2020,1,09:00,16:00,7.0,09:00-16:00,1843.0,False,602.0,False,5.0,False,0,True,25,False,51,False,True,False,False,False,False,True,True,False
4976,4975,10/1/2020,10,1,2020,โควิด,บางกระบือ,อำนวยสงคราม,นอกเร่งด่วน,นอกเร่งด่วน (9.00 - 16.00 น.),2554,1118,59,-,172,18,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,บางกระบือ,อำนวยสงคราม,10,1,2020,2020-01-10,2020-01-10,1,2020,1,09:00,16:00,7.0,09:00-16:00,2554.0,False,1118.0,False,59.0,False,0,True,172,False,18,False,True,False,False,False,False,True,True,False
4994,4993,15/1/2020,15,1,2020,โควิด,พรานนก,พรานนก,เร่งด่วนเย็น,เร่งด่วนเย็น (16.00 - 19.30 น.),4581,1282,111,20,27,423,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,พรานนก,พรานนก,15,1,2020,2020-01-15,2020-01-15,1,2020,1,16:00,19:30,3.5,16:00-19:30,4581.0,False,1282.0,False,111.0,False,20,False,27,False,423,False,False,False,False,False,False,True,True,False
4995,4994,15/1/2020,15,1,2020,โควิด,พรานนก,พรานนก,เร่งด่วนเย็น,เร่งด่วนเย็น (16.00 - 19.30 น.),7091,1926,45,-,43,293,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,พรานนก,พรานนก,15,1,2020,2020-01-15,2020-01-15,1,2020,1,16:00,19:30,3.5,16:00-19:30,7091.0,False,1926.0,False,45.0,False,0,True,43,False,293,False,True,False,False,False,False,True,True,False
4998,4997,15/1/2020,15,1,2020,โควิด,พรานนก,พรานนก,นอกเร่งด่วน,นอกเร่งด่วน (9.00 - 16.00 น.),10559,2722,282,67,107,695,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,พรานนก,พรานนก,15,1,2020,2020-01-15,2020-01-15,1,2020,1,09:00,16:00,7.0,09:00-16:00,10559.0,False,2722.0,False,282.0,False,67,False,107,False,695,False,False,False,False,False,False,True,True,False
4999,4998,15/1/2020,15,1,2020,โควิด,พรานนก,พรานนก,นอกเร่งด่วน,นอกเร่งด่วน (9.00 - 16.00 น.),17887,5282,288,-,224,615,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,พรานนก,พรานนก,15,1,2020,2020-01-15,2020-01-15,1,2020,1,09:00,16:00,7.0,09:00-16:00,17887.0,False,5282.0,False,288.0,False,0,True,224,False,615,False,True,False,False,False,False,True,True,False
5005,5004,20/1/2020,20,1,2020,โควิด,พาณิชยการ,พิษณุโลก,เร่งด่วนเย็น,เร่งด่วนเย็น (16.00 - 19.30 น.),4841,996,130,1,30,88,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,พาณิชยการ,พิษณุโลก,20,1,2020,2020-01-20,2020-01-20,1,2020,1,16:00,19:30,3.5,16:00-19:30,4841.0,False,996.0,False,130.0,False,1,False,30,False,88,False,False,False,False,False,False,True,True,False
5006,5005,20/1/2020,20,1,2020,โควิด,พาณิชยการ,พิษณุโลก,เร่งด่วนเย็น,เร่งด่วนเย็น (16.00 - 19.30 น.),1753,599,37,25,19,402,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,พาณิชยการ,พิษณุโลก,20,1,2020,2020-01-20,2020-01-20,1,2020,1,16:00,19:30,3.5,16:00-19:30,1753.0,False,599.0,False,37.0,False,25,False,19,False,402,False,False,False,False,False,False,True,True,False
5009,5008,20/1/2020,20,1,2020,โควิด,พาณิชยการ,พิษณุโลก,นอกเร่งด่วน,นอกเร่งด่วน (9.00 - 16.00 น.),9759,2495,335,-,177,254,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,พาณิชยการ,พิษณุโลก,20,1,2020,2020-01-20,2020-01-20,1,2020,1,09:00,16:00,7.0,09:00-16:00,9759.0,False,2495.0,False,335.0,False,0,True,177,False,254,False,True,False,False,False,False,True,True,False
5010,5009,20/1/2020,20,1,2020,โควิด,พาณิชยการ,พิษณุโลก,นอกเร่งด่วน,นอกเร่งด่วน (9.00 - 16.00 น.),3572,1154,89,64,56,1097,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,พาณิชยการ,พิษณุโลก,20,1,2020,2020-01-20,2020-01-20,1,2020,1,09:00,16:00,7.0,09:00-16:00,3572.0,False,1154.0,False,89.0,False,64,False,56,False,1097,False,False,False,False,False,False,True,True,False
5014,5013,22/1/2020,22,1,2020,โควิด,ศูนย์วิจัย - เพชรบุรี,ราชดำเนินกลาง,เร่งด่วนเช้า,เร่งด่วนเช้า (6.30 - 9.00 น.),6865,1362,523,78,59,248,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ศูนย์วิจัย - เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,06:30,09:00,2.5,06:30-09:00,6865.0,False,1362.0,False,523.0,False,78,False,59,False,248,False,False,False,False,False,False,True,True,False
5015,5014,22/1/2020,22,1,2020,โควิด,ศูนย์วิจัย - เพชรบุรี,ราชดำเนินกลาง,เร่งด่วนเช้า,เร่งด่วนเช้า (6.30 - 9.00 น.),7169,1449,429,5,31,103,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ศูนย์วิจัย - เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,06:30,09:00,2.5,06:30-09:00,7169.0,False,1449.0,False,429.0,False,5,False,31,False,103,False,False,False,False,False,False,True,True,False
5017,5016,22/1/2020,22,1,2020,โควิด,ศูนย์วิจัย - เพชรบุรี,เพชรบุรี,เร่งด่วนเย็น,เร่งด่วนเย็น (16.00 - 19.30 น.),8570,2393,181,1,65,23,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ศูนย์วิจัย - เพชรบุรี,เพชรบุรี,22,1,2020,2020-01-22,2020-01-22,1,2020,1,16:00,19:30,3.5,16:00-19:30,8570.0,False,2393.0,False,181.0,False,1,False,65,False,23,False,False,False,False,False,False,True,True,False
5018,5017,22/1/2020,22,1,2020,โควิด,ศูนย์วิจัย - เพชรบุรี,เพชรบุรี,เร่งด่วนเย็น,เร่งด่วนเย็น (16.00 - 19.30 น.),1785,281,45,38,15,82,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ศูนย์วิจัย - เพชรบุรี,เพชรบุรี,22,1,2020,2020-01-22,2020-01-22,1,2020,1,16:00,19:30,3.5,16:00-19:30,1785.0,False,281.0,False,45.0,False,38,False,15,False,82,False,False,False,False,False,False,True,True,False
5019,5018,22/1/2020,22,1,2020,โควิด,ศูนย์วิจัย - เพชรบุรี,ราชดำเนินกลาง,เร่งด่วนเย็น,เร่งด่วนเย็น (16.00 - 19.30 น.),8298,2392,598,68,94,639,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ศูนย์วิจัย - เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,16:00,19:30,3.5,16:00-19:30,8298.0,False,2392.0,False,598.0,False,68,False,94,False,639,False,False,False,False,False,False,True,True,False
5020,5019,22/1/2020,22,1,2020,โควิด,ศูนย์วิจัย - เพชรบุรี,ราชดำเนินกลาง,เร่งด่วนเย็น,เร่งด่วนเย็น (16.00 - 19.30 น.),1585,393,66,44,11,168,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ศูนย์วิจัย - เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,16:00,19:30,3.5,16:00-19:30,1585.0,False,393.0,False,66.0,False,44,False,11,False,168,False,False,False,False,False,False,True,True,False
5021,5020,22/1/2020,22,1,2020,โควิด,ศูนย์วิจัย - เพชรบุรี,ราชดำเนินกลาง,เร่งด่วนเย็น,เร่งด่วนเย็น (16.00 - 19.30 น.),10466,2748,525,2,154,468,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ศูนย์วิจัย - เพชรบุรี,ราชดำเนินกลาง,22,1,2020,2020-01-22,2020-01-22,1,2020,1,16:00,19:30,3.5,16:00-19:30,10466.0,False,2748.0,False,525.0,False,2,False,154,False,468,False,False,False,False,False,False,True,True,False
5023,5022,22/1/2020,22,1,2020,โควิด,ศูนย์วิจัย - เพชรบุรี,เพชรบุรี,นอกเร่งด่วน,นอกเร่งด่วน (9.00 - 16.00 น.),19070,6651,592,1,589,83,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ศูนย์วิจัย - เพชรบุรี,เพชรบุรี,22,1,2020,2020-01-22,2020-01-22,1,2020,1,09:00,16:00,7.0,09:00-16:00,19070.0,False,6651.0,False,592.0,False,1,False,589,False,83,False,False,False,False,False,False,True,True,False
