intersection,road,intersection_key,road_key
สุวรรณภูมิ,สุวรรณภูมิ 4,สุวรรณภูมิ,สุวรรณภูมิ 4
สุวรรณภูมิ,ลาดกระบัง,สุวรรณภูมิ,ลาดกระบัง
สุขุมวิท24,ซ.สุขุมวิท 24,สุขุมวิท24,ซ.สุขุมวิท 24
สุขุมวิท24,สุขุมวิท,สุขุมวิท24,สุขุมวิท
สุขุมวิท 26,ซ.สุขุมวิท 26,สุขุมวิท 26,ซ.สุขุมวิท 26
สุขุมวิท 26,สุขุมวิท,สุขุมวิท 26,สุขุมวิท
วัดสน,ซ.สุขสวัสดิ์ 35,วัดสน,ซ.สุขสวัสดิ์ 35
วัดสน,สุขสวัสดิ์,วัดสน,สุขสวัสดิ์
ใต้ด่วนพระราม 4,เชื้อเพลิง,ใต้ด่วนพระราม 4,เชื้อเพลิง
ใต้ด่วนพระราม 4,ทางด่วน,ใต้ด่วนพระราม 4,ทางด่วน
ใต้ด่วนพระราม 4,พระรามที่ 4,ใต้ด่วนพระราม 4,พระรามที่ 4
สุขุมวิท11,ซ.สุขุมวิท 11,สุขุมวิท11,ซ.สุขุมวิท 11
สุขุมวิท11,สุขุมวิท,สุขุมวิท11,สุขุมวิท
สุขุมวิท22,ซ.สุขุมวิท 22,สุขุมวิท22,ซ.สุขุมวิท 22
สุขุมวิท22,สุขุมวิท,สุขุมวิท22,สุขุมวิท
สะพานเหลือง,พระรามที่ 4,สะพานเหลือง,พระรามที่ 4
สะพานเหลือง,ซ.พระยาดำรงค์,สะพานเหลือง,ซ.พระยาดำรงค์
สะพานเหลือง,บรรทัดทอง,สะพานเหลือง,บรรทัดทอง
เอกมัยเหนือ,เอกมัย,เอกมัยเหนือ,เอกมัย
เอกมัยเหนือ,เพชรบุรี,เอกมัยเหนือ,เพชรบุรี
บางขุนนนท์,จรัญสนิทวงศ์,บางขุนนนท์,จรัญสนิทวงศ์
บางขุนนนท์,บางกอกน้อยตลิ่งชัน,บางขุนนนท์,บางกอกน้อยตลิ่งชัน
บางขุนนนท์,ซ.จรัญสนิทวงศ์ 32,บางขุนนนท์,ซ.จรัญสนิทวงศ์ 32
บางขุนนนท์,ช.จรัญสนิทวงศ์ 32,บางขุนนนท์,ช.จรัญสนิทวงศ์ 32
ปากซอยอ่อนนุช 69,อ่อนนุช,ปากซอยอ่อนนุช 69,อ่อนนุช
อ่อนนุช 86(ทางเข้าโรงขยะอ่อนช),ซ.อ่อนนุช 86,อ่อนนุช 86(ทางเข้าโรงขยะอ่อนช),ซ.อ่อนนุช 86
