intersection_key,road_key,ก่อนโควิด,โควิด,หลังโควิด
การเรือน,ราชวิถี,3,3,9
การเรือน,ราชสีมา,3,3,3
กำแพงเพชร,กำแพงเพชร,6,3,12
กำแพงเพชร,พหลโยธิน,6,3,12
ขัตติยานี,พิชัย,3,3,9
ขัตติยานี,สุโขทัย,3,3,9
คลองตัน,พัฒนาการ,6,3,6
คลองตัน,รามคำแหง,6,3,5
คลองตัน,สุขุมวิท 71,6,3,3
คลองตัน,เพชรบุรี,6,3,7
คลองประปา,ประชาชื่น,3,3,3
คลองประปา,เลียบคลองประปา,3,3,3
คลองประปา,แจ้งวัฒนะ,3,3,3
คลองสาน,ลาดหญ้า,9,3,12
คลองสาน,สมเด็จเจ้าพระยา,9,3,12
คลองสาน,เจริญนคร,9,3,12
คลองเตย,พระรามที่ 4,6,3,13
คลองเตย,สุนทรโกษา,6,3,11
คอกวัว,ตะนาว,6,3,6
คอกวัว,ราชดำเนินกลาง,6,3,6
จอมทอง,จอมทอง,3,3,9
จอมทอง,วุฒากาศ,3,3,9
จักรพรรดิพงษ์,จักรพรรดิพงษ์,6,3,9
จักรพรรดิพงษ์,นครสวรรค์,6,3,9
จันทน์ - นราธิวาส,จันทน์,3,6,9
จันทน์ - เจริญราษฎร์,จันทน์,6,3,9
จันทน์ - เจริญราษฎร์,เจริญราษฎร์,3,3,9
ดาวคะนอง,จอมทอง,9,3,9
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,9,3,9
ด่วนนางลิ้นจี่,นางลิ้นจี่,3,3,6
ด่วนนางลิ้นจี่,รัชดาภิเษก,3,3,6
ด่วนสาธุ,รัชดาภิเษก,3,3,3
ด่วนสาธุ,สาธุประดิษฐ์,3,3,3
ด่วนเกษมราษฎร์,เกษมราษฎร์,3,3,6
ด่วนเพลินจิต,ดวงพิทักษ์,3,3,3
ด่วนเพลินจิต,สุขุมวิท,3,3,3
ด่วนเพลินจิต,เพลินจิต,3,3,6
ตรอกจันทน์,จันทน์,3,3,3
ตรอกจันทน์,เจริญกรุง,3,3,3
ตากสิน,กรุงธนบุรี,6,3,3
ตากสิน,ราชพฤกษ์,6,3,3
ตากสิน,สมเด็จพระเจ้าตากสิน,6,3,3
ถนนตก,พระรามที่ 3,6,6,6
ถนนตก,เจริญกรุง,6,6,6
ทองหล่อ,สุขุมวิท,6,3,12
ทุ่งครุ,ครุใน,6,3,3
ทุ่งครุ,ประชาอุทิศ,6,3,3
ทุ่งสาธิต,สุขุมวิท,3,3,6
ท่าดินแดง,ท่าดินแดง,6,3,6
ท่าดินแดง,สมเด็จเจ้าพระยา,6,3,3
ท่าพระ,จรัญสนิทวงศ์,3,3,6
ท่าพระ,รัชดาภิเษก,3,3,6
ท่าพระ,เพชรเกษม,3,3,6
นวมินทร์ - ประเสริฐมนูกิจ,ประเสริฐมนูกิจ,6,3,3
นอร์ธปาร์ค,กำแพงเพชร 6,3,3,3
นอร์ธปาร์ค,ชิดชน,3,3,3
นางลิ้นจี่,นางลิ้นจี่,3,3,3
นางลิ้นจี่,พระรามที่ 3,3,3,3
นางเลิ้ง,นครสวรรค์,3,3,6
นางเลิ้ง,พิษณุโลก,3,3,6
นานา,สุขุมวิท,3,3,9
นาหลวง,พุทธบูชา,6,3,6
นิด้า,ศรีบูรพา,3,6,9
นิด้า,เสรีไทย,3,6,9
บรมราชชนนี,จรัญสนิทวงศ์,3,3,9
บรมราชชนนี,บรมราชชนนี,3,3,12
บางกระบือ,สามเสน,3,6,6
บางกระบือ,อำนวยสงคราม,3,8,6
บางกระบือ,เขียวไข่กา,3,6,6
บางกะปิ,พ่วงศิริ,3,3,3
บางกะปิ,ลาดพร้าว,3,3,3
บางกะปิ,เสรีไทย,3,3,3
บางขุนนนท์,จรัญสนิทวงศ์,6,6,9
บางขุนนนท์,บางกอกน้อยตลิ่งชัน,3,6,3
บางชัน,เสรีไทย,6,3,3
บางบอน 5,บางบอน 5,3,3,3
บางบอน 5,เอกชัย,3,3,3
บางพลัด,จรัญสนิทวงศ์,6,3,9
บางพลัด,ราชวิถี,6,3,9
บางพลัด,สิรินธร,6,3,9
บางยี่เรือ,อินทรพิทักษ์,6,3,9
บางยี่เรือ,เทอดไท,6,6,9
