report_year,rows,months_present,months_missing_within_scope,locations,assumed_zero_rows
2017,1422,"3,4,5,6,7,8,9,10,11,12",,476,0
2018,1671,"1,2,3,4,5,6,7,8,9,10,11,12",,531,0
2019,1824,"1,2,3,4,5,6,7,8,9,10,11,12",,611,0
2020,1333,"1,2,3,4,5,7,8,10,11,12","6,9",420,560
2021,2136,"1,2,3,4,5,6,7,8,9,10,11,12",,677,549
2022,2048,"1,2,3,4,5,6,7,8,9,10,11,12",,671,400
2023,1923,"1,2,3,4,5,6,7,8,9,10,11,12",,627,0
2024,1875,"1,2,3,4,5,6,7,8,9,10,11,12",,618,0
2025,2062,"1,2,3,4,5,6,7,8,9,10,11,12",,657,0
2026,711,"1,2,3,4,5",,233,0
