source_excel_row,field,original_value,replacement,reason
6494,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6497,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6548,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6551,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6557,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6560,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6596,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6599,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6617,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6620,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6666,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6670,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6722,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6725,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6997,passenger_car,-,0,user_rule_missing_or_dash_is_zero
6999,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7001,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7003,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7158,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7167,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7169,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7186,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7188,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7192,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7194,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7413,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7420,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7427,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7451,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7471,passenger_car,-,0,user_rule_missing_or_dash_is_zero
7672,passenger_car,-,0,user_rule_missing_or_dash_is_zero
5292,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6494,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6497,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6548,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6551,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6557,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6560,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6596,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6599,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6617,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6620,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6666,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6670,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6722,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6725,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6997,pickup_van,-,0,user_rule_missing_or_dash_is_zero
6999,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7001,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7003,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7158,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7162,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7167,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7169,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7186,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7188,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7192,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7194,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7413,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7420,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7427,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7451,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7471,pickup_van,-,0,user_rule_missing_or_dash_is_zero
7672,pickup_van,-,0,user_rule_missing_or_dash_is_zero
4950,large_bus,-,0,user_rule_missing_or_dash_is_zero
4953,large_bus,-,0,user_rule_missing_or_dash_is_zero
4956,large_bus,-,0,user_rule_missing_or_dash_is_zero
4966,large_bus,-,0,user_rule_missing_or_dash_is_zero
4969,large_bus,-,0,user_rule_missing_or_dash_is_zero
4974,large_bus,-,0,user_rule_missing_or_dash_is_zero
4978,large_bus,-,0,user_rule_missing_or_dash_is_zero
5016,large_bus,-,0,user_rule_missing_or_dash_is_zero
5130,large_bus,-,0,user_rule_missing_or_dash_is_zero
5132,large_bus,-,0,user_rule_missing_or_dash_is_zero
5134,large_bus,-,0,user_rule_missing_or_dash_is_zero
5223,large_bus,-,0,user_rule_missing_or_dash_is_zero
5238,large_bus,-,0,user_rule_missing_or_dash_is_zero
5242,large_bus,-,0,user_rule_missing_or_dash_is_zero
5246,large_bus,-,0,user_rule_missing_or_dash_is_zero
5285,large_bus,-,0,user_rule_missing_or_dash_is_zero
5288,large_bus,-,0,user_rule_missing_or_dash_is_zero
5291,large_bus,-,0,user_rule_missing_or_dash_is_zero
5292,large_bus,-,0,user_rule_missing_or_dash_is_zero
5294,large_bus,-,0,user_rule_missing_or_dash_is_zero
5295,large_bus,-,0,user_rule_missing_or_dash_is_zero
5296,large_bus,-,0,user_rule_missing_or_dash_is_zero
5297,large_bus,-,0,user_rule_missing_or_dash_is_zero
5298,large_bus,-,0,user_rule_missing_or_dash_is_zero
5301,large_bus,-,0,user_rule_missing_or_dash_is_zero
5349,large_bus,-,0,user_rule_missing_or_dash_is_zero
5351,large_bus,-,0,user_rule_missing_or_dash_is_zero
5354,large_bus,-,0,user_rule_missing_or_dash_is_zero
5358,large_bus,-,0,user_rule_missing_or_dash_is_zero
5389,large_bus,-,0,user_rule_missing_or_dash_is_zero
5390,large_bus,-,0,user_rule_missing_or_dash_is_zero
5393,large_bus,-,0,user_rule_missing_or_dash_is_zero
5395,large_bus,-,0,user_rule_missing_or_dash_is_zero
5396,large_bus,-,0,user_rule_missing_or_dash_is_zero
5399,large_bus,-,0,user_rule_missing_or_dash_is_zero
5442,large_bus,-,0,user_rule_missing_or_dash_is_zero
5443,large_bus,-,0,user_rule_missing_or_dash_is_zero
5455,large_bus,-,0,user_rule_missing_or_dash_is_zero
5457,large_bus,-,0,user_rule_missing_or_dash_is_zero
5459,large_bus,-,0,user_rule_missing_or_dash_is_zero
5487,large_bus,-,0,user_rule_missing_or_dash_is_zero
5488,large_bus,-,0,user_rule_missing_or_dash_is_zero
5490,large_bus,-,0,user_rule_missing_or_dash_is_zero
5491,large_bus,-,0,user_rule_missing_or_dash_is_zero
5493,large_bus,-,0,user_rule_missing_or_dash_is_zero
5494,large_bus,-,0,user_rule_missing_or_dash_is_zero
5538,large_bus,-,0,user_rule_missing_or_dash_is_zero
5540,large_bus,-,0,user_rule_missing_or_dash_is_zero
5542,large_bus,-,0,user_rule_missing_or_dash_is_zero
5563,large_bus,-,0,user_rule_missing_or_dash_is_zero
5567,large_bus,-,0,user_rule_missing_or_dash_is_zero
5569,large_bus,-,0,user_rule_missing_or_dash_is_zero
5592,large_bus,-,0,user_rule_missing_or_dash_is_zero
5593,large_bus,-,0,user_rule_missing_or_dash_is_zero
5594,large_bus,-,0,user_rule_missing_or_dash_is_zero
5595,large_bus,-,0,user_rule_missing_or_dash_is_zero
5596,large_bus,-,0,user_rule_missing_or_dash_is_zero
5597,large_bus,-,0,user_rule_missing_or_dash_is_zero
5598,large_bus,-,0,user_rule_missing_or_dash_is_zero
5599,large_bus,-,0,user_rule_missing_or_dash_is_zero
5602,large_bus,-,0,user_rule_missing_or_dash_is_zero
5603,large_bus,-,0,user_rule_missing_or_dash_is_zero
5620,large_bus,-,0,user_rule_missing_or_dash_is_zero
5622,large_bus,-,0,user_rule_missing_or_dash_is_zero
5624,large_bus,-,0,user_rule_missing_or_dash_is_zero
5638,large_bus,-,0,user_rule_missing_or_dash_is_zero
5641,large_bus,-,0,user_rule_missing_or_dash_is_zero
5644,large_bus,-,0,user_rule_missing_or_dash_is_zero
5659,large_bus,-,0,user_rule_missing_or_dash_is_zero
5662,large_bus,-,0,user_rule_missing_or_dash_is_zero
5665,large_bus,-,0,user_rule_missing_or_dash_is_zero
5675,large_bus,-,0,user_rule_missing_or_dash_is_zero
5676,large_bus,-,0,user_rule_missing_or_dash_is_zero
5679,large_bus,-,0,user_rule_missing_or_dash_is_zero
5703,large_bus,-,0,user_rule_missing_or_dash_is_zero
5706,large_bus,-,0,user_rule_missing_or_dash_is_zero
5709,large_bus,-,0,user_rule_missing_or_dash_is_zero
5712,large_bus,-,0,user_rule_missing_or_dash_is_zero
5714,large_bus,-,0,user_rule_missing_or_dash_is_zero
5716,large_bus,-,0,user_rule_missing_or_dash_is_zero
5725,large_bus,-,0,user_rule_missing_or_dash_is_zero
5728,large_bus,-,0,user_rule_missing_or_dash_is_zero
5731,large_bus,-,0,user_rule_missing_or_dash_is_zero
5765,large_bus,-,0,user_rule_missing_or_dash_is_zero
5787,large_bus,-,0,user_rule_missing_or_dash_is_zero
5814,large_bus,-,0,user_rule_missing_or_dash_is_zero
5816,large_bus,-,0,user_rule_missing_or_dash_is_zero
5818,large_bus,-,0,user_rule_missing_or_dash_is_zero
5821,large_bus,-,0,user_rule_missing_or_dash_is_zero
5824,large_bus,-,0,user_rule_missing_or_dash_is_zero
5827,large_bus,-,0,user_rule_missing_or_dash_is_zero
5830,large_bus,-,0,user_rule_missing_or_dash_is_zero
5836,large_bus,-,0,user_rule_missing_or_dash_is_zero
5839,large_bus,-,0,user_rule_missing_or_dash_is_zero
5842,large_bus,-,0,user_rule_missing_or_dash_is_zero
5845,large_bus,-,0,user_rule_missing_or_dash_is_zero
5848,large_bus,-,0,user_rule_missing_or_dash_is_zero
5851,large_bus,-,0,user_rule_missing_or_dash_is_zero
5853,large_bus,-,0,user_rule_missing_or_dash_is_zero
5855,large_bus,-,0,user_rule_missing_or_dash_is_zero
5856,large_bus,-,0,user_rule_missing_or_dash_is_zero
5858,large_bus,-,0,user_rule_missing_or_dash_is_zero
5860,large_bus,-,0,user_rule_missing_or_dash_is_zero
5863,large_bus,-,0,user_rule_missing_or_dash_is_zero
5865,large_bus,-,0,user_rule_missing_or_dash_is_zero
5887,large_bus,-,0,user_rule_missing_or_dash_is_zero
5889,large_bus,-,0,user_rule_missing_or_dash_is_zero
5963,large_bus,-,0,user_rule_missing_or_dash_is_zero
5964,large_bus,-,0,user_rule_missing_or_dash_is_zero
5968,large_bus,-,0,user_rule_missing_or_dash_is_zero
5969,large_bus,-,0,user_rule_missing_or_dash_is_zero
5973,large_bus,-,0,user_rule_missing_or_dash_is_zero
5974,large_bus,-,0,user_rule_missing_or_dash_is_zero
6118,large_bus,-,0,user_rule_missing_or_dash_is_zero
6122,large_bus,-,0,user_rule_missing_or_dash_is_zero
6126,large_bus,-,0,user_rule_missing_or_dash_is_zero
6133,large_bus,-,0,user_rule_missing_or_dash_is_zero
6252,large_bus,-,0,user_rule_missing_or_dash_is_zero
6254,large_bus,-,0,user_rule_missing_or_dash_is_zero
6256,large_bus,-,0,user_rule_missing_or_dash_is_zero
6355,large_bus,-,0,user_rule_missing_or_dash_is_zero
6356,large_bus,-,0,user_rule_missing_or_dash_is_zero
6358,large_bus,-,0,user_rule_missing_or_dash_is_zero
6359,large_bus,-,0,user_rule_missing_or_dash_is_zero
6361,large_bus,-,0,user_rule_missing_or_dash_is_zero
6362,large_bus,-,0,user_rule_missing_or_dash_is_zero
6363,large_bus,-,0,user_rule_missing_or_dash_is_zero
6364,large_bus,-,0,user_rule_missing_or_dash_is_zero
