intersection_key,road_key,time_key,actual_month,Before,After_year,paired_index,report_year
คลองตัน,พัฒนาการ,07:00-09:00,4,2399.25,9771.0,407.25226633322916,2022
คลองตัน,พัฒนาการ,09:00-16:00,4,2132.714285714286,983.5714285714286,46.11829325473909,2022
คลองตัน,พัฒนาการ,16:00-19:00,4,2084.333333333333,794.0,38.09371501679195,2022
คลองตัน,รามคำแหง,07:00-09:00,4,1878.75,4596.5,244.65735196274116,2022
คลองตัน,รามคำแหง,09:00-16:00,4,1647.7142857142858,632.5714285714286,38.39084445985781,2022
คลองตัน,เพชรบุรี,07:00-09:00,4,1691.5,5909.0,349.3349098433343,2022
คลองตัน,เพชรบุรี,09:00-16:00,4,1628.9285714285716,1185.857142857143,72.79982459986844,2022
จันทน์ - นราธิวาส,จันทน์,07:00-09:00,8,1185.5,951.0,80.21931674398988,2022
จันทน์ - นราธิวาส,จันทน์,09:00-16:00,8,1203.0,919.8571428571428,76.4636028975181,2022
จันทน์ - นราธิวาส,จันทน์,16:00-19:00,8,1340.6666666666667,1119.3333333333333,83.49080059671805,2022
ซังฮี้,ราชวิถี,09:00-16:00,1,1330.0,1219.142857142857,91.66487647690656,2022
ซังฮี้,สามเสน,09:00-16:00,1,1892.4285714285716,2538.0,134.11338416245187,2022
พระรามที่ 4,พระรามที่ 4,09:00-16:00,6,3352.714285714286,3120.0,93.0589287996932,2022
พระรามที่ 4,รัชดาภิเษก,09:00-16:00,6,1597.857142857143,1509.571428571429,94.47474295932054,2022
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,07:00-09:00,6,883.5,899.5,101.8109790605546,2022
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,09:00-16:00,6,1028.0,715.1428571428571,69.56642579210673,2022
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,16:00-19:00,6,857.6666666666666,879.0,102.48736883015934,2022
พุทธมณฑลสาย 2,เพชรเกษม,07:00-09:00,6,7094.0,7161.5,100.95150831688751,2022
พุทธมณฑลสาย 2,เพชรเกษม,09:00-16:00,6,6630.714285714285,6148.714285714285,92.73079823332975,2022
พุทธมณฑลสาย 2,เพชรเกษม,16:00-19:00,6,7740.333333333333,5990.666666666667,77.39546100512467,2022
มหานคร,จารุเมือง,07:00-09:00,11,3129.0,2896.0,92.55353147970598,2022
มหานคร,จารุเมือง,09:00-16:00,11,2021.857142857143,2385.5714285714284,117.98911891471772,2022
มหานคร,จารุเมือง,16:00-19:00,11,1917.6666666666667,2232.6666666666665,116.42621241091604,2022
มหานคร,พระรามที่ 4,07:00-09:00,11,2417.0,3082.0,127.51344642118327,2022
มหานคร,พระรามที่ 4,09:00-16:00,11,3001.428571428572,3081.285714285714,102.66063779152783,2022
มหานคร,พระรามที่ 4,16:00-19:00,11,3409.6666666666665,3120.6666666666665,91.52409815231205,2022
มหานคร,มหานคร,07:00-09:00,11,2391.5,1244.5,52.03846957976166,2022
มหานคร,มหานคร,09:00-16:00,11,1433.857142857143,1066.571428571429,74.38477632758794,2022
