code,intersection,road,Before_n,During_n,After_n,after_change_pct,leave_one_visit_min_pct,leave_one_visit_max_pct,all_weekdays
L03,บางขุนนนท์,จรัญสนิทวงศ์,2,2,3,37.72911211616281,29.498657117278416,47.07676664972038,True
L04,บางยี่เรือ,เทอดไท,2,2,3,-31.173260572987726,-40.45020463847203,-6.036834924965895,True
L06,พระราม 9,พระราม 9,2,2,2,17.45900672407692,8.175061932287363,26.74295151586645,True
L07,พระราม 9,รัชดาภิเษก,2,2,2,9.85161389016369,0.4054809843400342,21.259709557581896,True
L08,พระราม 9,อโศกดินแดง,2,2,2,3.4220856801501887,-7.488549618320606,17.25038699690402,True
L09,มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี,2,3,3,-50.98291383428257,-58.712472918601044,-39.69258589511754,True
L13,หลักสี่,กำแพงเพชร 6,2,2,3,-39.5501138952164,-50.17601501994837,-19.27676537585421,True
L14,หลักสี่,แจ้งวัฒนะ,2,2,3,-28.54538826102807,-37.106918238993714,-17.285617825793388,True
L15,ห้วยขวาง,ประชาสงเคราะห์,2,2,4,-24.29797191887676,-43.54275741710296,14.852071005917168,True
L17,เตาปูน,ประชาราษฎร์สาย 2,2,2,2,-0.7966184360266637,-14.420419443992849,12.827182571939533,True
