code,vehicle,before_mean_vph,after_mean_vph,mean_vph_difference
L03,passenger_car,1520.5,2166.6666666666665,646.1666666666665
L03,pickup_van,426.25,532.0,105.75
L03,large_bus,80.0,66.16666666666667,-13.833333333333329
L03,small_bus,27.25,3.8333333333333335,-23.416666666666668
L03,truck,14.0,23.5,9.5
L03,tuk_tuk,32.5,42.0,9.5
L04,passenger_car,516.75,462.3333333333333,-54.416666666666686
L04,pickup_van,116.75,79.0,-37.75
L04,large_bus,21.5,11.166666666666666,-10.333333333333334
L04,small_bus,5.0,0.0,-5.0
L04,truck,4.25,3.0,-1.25
L04,tuk_tuk,68.75,26.5,-42.25
L06,passenger_car,1607.0,1952.75,345.75
L06,pickup_van,464.75,483.5,18.75
L06,large_bus,36.5,26.0,-10.5
L06,small_bus,0.25,0.75,0.5
L06,truck,7.25,21.75,14.5
L06,tuk_tuk,3.5,4.5,1.0
L07,passenger_car,2678.0,2940.75,262.75
L07,pickup_van,516.25,588.75,72.5
L07,large_bus,57.25,39.25,-18.0
L07,small_bus,0.25,0.25,0.0
L07,truck,9.25,13.75,4.5
L07,tuk_tuk,7.5,7.75,0.25
L08,passenger_car,2241.0,2198.75,-42.25
L08,pickup_van,640.5,716.5,76.0
L08,large_bus,37.25,32.25,-5.0
L08,small_bus,0.25,1.0,0.75
L08,truck,6.25,75.75,69.5
L08,tuk_tuk,4.25,5.5,1.25
L09,passenger_car,985.5,491.5,-494.0
L09,pickup_van,360.25,149.33333333333334,-210.91666666666666
L09,large_bus,6.5,1.8333333333333333,-4.666666666666667
L09,small_bus,0.25,1.6666666666666667,1.4166666666666667
L09,truck,5.25,8.333333333333334,3.083333333333334
L09,tuk_tuk,3.0,4.166666666666667,1.166666666666667
L13,passenger_car,1626.0,1027.8333333333333,-598.1666666666667
L13,pickup_van,123.25,257.1666666666667,133.91666666666669
L13,large_bus,1.75,1.1666666666666667,-0.5833333333333333
L13,small_bus,0.0,0.0,0.0
L13,truck,4.25,6.833333333333333,2.583333333333333
L13,tuk_tuk,0.75,1.6666666666666667,0.9166666666666667
L14,passenger_car,2755.0,1972.0,-783.0
L14,pickup_van,610.25,421.3333333333333,-188.91666666666669
L14,large_bus,34.75,12.333333333333334,-22.416666666666664
L14,small_bus,0.0,1.6666666666666667,1.6666666666666667
L14,truck,26.0,31.333333333333332,5.333333333333332
L14,tuk_tuk,2.75,2.0,-0.75
L15,passenger_car,471.0,355.75,-115.25
L15,pickup_van,99.0,94.0,-5.0
L15,large_bus,31.25,13.125,-18.125
L15,small_bus,0.0,0.125,0.125
L15,truck,9.25,14.375,5.125
L15,tuk_tuk,30.5,27.5,-3.0
L17,passenger_car,1140.75,1225.25,84.5
L17,pickup_van,290.0,237.0,-53.0
L17,large_bus,57.75,20.0,-37.75
L17,small_bus,0.0,0.25,0.25
L17,truck,10.5,11.5,1.0
L17,tuk_tuk,38.75,31.5,-7.25
