intersection_key,road_key,time_key,covid_period,median,mean,size
การเรือน,ราชวิถี,07:00-09:00,ก่อนโควิด,1110.0,1110.0,1
การเรือน,ราชวิถี,07:00-09:00,หลังโควิด,999.0,918.6666666666666,3
การเรือน,ราชวิถี,07:00-09:00,โควิด,433.5,433.5,1
การเรือน,ราชวิถี,09:00-16:00,ก่อนโควิด,931.4285714285714,931.4285714285714,1
การเรือน,ราชวิถี,09:00-16:00,หลังโควิด,908.5714285714286,908.5714285714286,1
การเรือน,ราชวิถี,09:00-16:00,โควิด,1045.7142857142858,1045.7142857142858,1
การเรือน,ราชวิถี,16:00-19:00,ก่อนโควิด,850.6666666666666,850.6666666666666,1
การเรือน,ราชวิถี,16:00-19:00,หลังโควิด,873.6666666666666,873.6666666666666,1
การเรือน,ราชวิถี,16:00-19:00,โควิด,364.3333333333333,364.3333333333333,1
การเรือน,ราชสีมา,07:00-09:00,ก่อนโควิด,1359.0,1359.0,1
การเรือน,ราชสีมา,07:00-09:00,หลังโควิด,1386.0,1386.0,1
การเรือน,ราชสีมา,07:00-09:00,โควิด,2046.5,2046.5,1
การเรือน,ราชสีมา,09:00-16:00,ก่อนโควิด,1389.0,1389.0,1
การเรือน,ราชสีมา,09:00-16:00,หลังโควิด,1129.4285714285713,1129.4285714285713,1
การเรือน,ราชสีมา,09:00-16:00,โควิด,1673.857142857143,1673.857142857143,1
การเรือน,ราชสีมา,16:00-19:00,ก่อนโควิด,1483.6666666666667,1483.6666666666667,1
การเรือน,ราชสีมา,16:00-19:00,หลังโควิด,1286.0,1286.0,1
การเรือน,ราชสีมา,16:00-19:00,โควิด,1171.6666666666667,1171.6666666666667,1
กำแพงเพชร,กำแพงเพชร,07:00-09:00,ก่อนโควิด,1806.0,1806.0,1
กำแพงเพชร,กำแพงเพชร,07:00-09:00,หลังโควิด,1711.0,1682.625,4
กำแพงเพชร,กำแพงเพชร,07:00-09:00,โควิด,1656.0,1656.0,1
กำแพงเพชร,กำแพงเพชร,09:00-16:00,ก่อนโควิด,1875.0,1875.0,2
กำแพงเพชร,กำแพงเพชร,09:00-16:00,หลังโควิด,1349.857142857143,1349.857142857143,2
กำแพงเพชร,กำแพงเพชร,09:00-16:00,โควิด,1936.5714285714287,1936.5714285714287,1
กำแพงเพชร,กำแพงเพชร,16:00-19:00,ก่อนโควิด,2297.3333333333335,2297.3333333333335,1
