intersection_key,road_key,time_key,report_quarter,Before,During,After
คลองเตย,พระรามที่ 4,07:00-09:00,4,100.0,110.34805890227577,69.34404283801874
คลองเตย,สุนทรโกษา,07:00-09:00,4,100.0,86.85028876055087,87.02798756108396
คอกวัว,ตะนาว,07:00-09:00,3,100.0,70.89090042877561,85.01667460695569
คอกวัว,ตะนาว,09:00-16:00,3,100.0,64.67311955875196,78.11604390850592
คอกวัว,ตะนาว,16:00-19:00,3,100.0,89.41767308382158,80.37785483678105
คอกวัว,ราชดำเนินกลาง,07:00-09:00,3,100.0,99.29702384863019,109.20438867354314
คอกวัว,ราชดำเนินกลาง,09:00-16:00,3,100.0,97.93207005173905,116.14029933571626
คอกวัว,ราชดำเนินกลาง,16:00-19:00,3,100.0,118.25314044714526,156.30130152827536
จันทน์ - นราธิวาส,จันทน์,07:00-09:00,3,100.0,76.59215520877267,89.05525094896667
จันทน์ - นราธิวาส,จันทน์,09:00-16:00,3,100.0,77.90048687804298,76.46360289751811
จันทน์ - นราธิวาส,จันทน์,16:00-19:00,3,100.0,67.45400298359026,83.49080059671805
ดาวคะนอง,จอมทอง,07:00-09:00,1,100.0,60.68685042928151,77.72254857659287
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,07:00-09:00,1,100.0,105.57011159631247,65.97768073750606
ทองหล่อ,สุขุมวิท,07:00-09:00,4,100.0,121.85210780926054,147.11817553559086
นางเลิ้ง,นครสวรรค์,09:00-16:00,3,100.0,84.79471301451838,87.73481812978092
นางเลิ้ง,พิษณุโลก,07:00-09:00,3,100.0,75.62649164677804,70.88305489260142
นางเลิ้ง,พิษณุโลก,09:00-16:00,3,100.0,78.95874505928853,82.57164031620553
นางเลิ้ง,พิษณุโลก,16:00-19:00,3,100.0,67.68736017897092,80.70469798657717
บางรัก,สีลม,07:00-09:00,2,100.0,61.390532544378694,110.65088757396451
บางรัก,เจริญกรุง,07:00-09:00,2,100.0,61.94809571958208,103.57263228850691
ประตูน้ำ,ราชดำริ,07:00-09:00,3,100.0,77.86277236903106,65.36856745479834
ประตูน้ำ,ราชปรารภ,07:00-09:00,3,100.0,100.96982758620689,60.72198275862068
ประตูน้ำ,เพชรบุรี,07:00-09:00,3,100.0,122.2359100708346,55.78995996304281
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,07:00-09:00,1,100.0,113.9068988125592,103.95570772929264
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประเสริฐมนูกิจ,07:00-09:00,1,100.0,88.14720632902451,95.13314967860423
พัฒนาการ,พัฒนาการ,07:00-09:00,2,100.0,108.58962410686547,115.17552034793414
พัฒนาการ,ศรีนครินทร์,07:00-09:00,2,100.0,109.26247827166627,125.14278619319592
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,07:00-09:00,2,100.0,76.11771363893605,101.8109790605546
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,09:00-16:00,2,100.0,80.5586436909394,69.56642579210673
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,16:00-19:00,2,100.0,92.46016323357948,102.48736883015934
พุทธมณฑลสาย 2,เพชรเกษม,07:00-09:00,2,100.0,95.86270087397801,100.95150831688751
พุทธมณฑลสาย 2,เพชรเกษม,09:00-16:00,2,100.0,99.31272218032964,92.73079823332975
พุทธมณฑลสาย 2,เพชรเกษม,16:00-19:00,2,100.0,87.93764265104863,77.39546100512467
ยุคล 2,ยุคล 2,07:00-09:00,4,100.0,75.65632458233891,79.83293556085918
ราชดำริ,ราชดำริ,07:00-09:00,2,100.0,97.6023764056864,87.9057924888606
ราชดำริ,สารสิน,07:00-09:00,2,100.0,58.466919265520254,162.11017196152727
รามคำแหง,พระราม 9,07:00-09:00,3,100.0,77.4970699309806,81.8661284021357
รามคำแหง,พระราม 9,09:00-16:00,3,100.0,89.09170444603515,108.2557862085421
รามคำแหง,พระราม 9,16:00-19:00,3,100.0,91.52446230205624,114.0392342235878
รามคำแหง,รามคำแหง,07:00-09:00,3,100.0,114.4480731548008,96.74069235793598
รามคำแหง,รามคำแหง,09:00-16:00,3,100.0,85.4908145432846,87.56233749627042
รามคำแหง,รามคำแหง,16:00-19:00,3,100.0,81.99489495385824,105.14431572746908
