intersection_key,road_key,time_key,report_quarter,Before,During,After
คลองเตย,พระรามที่ 4,07:00-09:00,4,3735.0,4121.5,2590.0
คลองเตย,สุนทรโกษา,07:00-09:00,4,1125.5,977.5,979.5
คอกวัว,ตะนาว,07:00-09:00,3,1049.5,744.0,892.25
คอกวัว,ตะนาว,09:00-16:00,3,1320.9285714285716,854.2857142857143,1031.857142857143
คอกวัว,ตะนาว,16:00-19:00,3,1393.8333333333335,1246.3333333333333,1120.3333333333333
คอกวัว,ราชดำเนินกลาง,07:00-09:00,3,3805.25,3778.5,4155.5
คอกวัว,ราชดำเนินกลาง,09:00-16:00,3,4376.357142857143,4285.857142857143,5082.714285714285
คอกวัว,ราชดำเนินกลาง,16:00-19:00,3,3675.1666666666665,4346.0,5744.333333333333
จันทน์ - นราธิวาส,จันทน์,07:00-09:00,3,1185.5,908.0,1055.75
จันทน์ - นราธิวาส,จันทน์,09:00-16:00,3,1203.0,937.1428571428571,919.8571428571429
จันทน์ - นราธิวาส,จันทน์,16:00-19:00,3,1340.6666666666667,904.3333333333334,1119.3333333333333
ดาวคะนอง,จอมทอง,07:00-09:00,1,1106.5,671.5,860.0
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,07:00-09:00,1,5152.5,5439.5,3399.5
ทองหล่อ,สุขุมวิท,07:00-09:00,4,1808.75,2204.0,2661.0
นางเลิ้ง,นครสวรรค์,09:00-16:00,3,2745.285714285714,2327.8571428571427,2408.5714285714284
นางเลิ้ง,พิษณุโลก,07:00-09:00,3,3352.0,2535.0,2376.0
นางเลิ้ง,พิษณุโลก,09:00-16:00,3,2313.1428571428573,1826.4285714285713,1910.0
นางเลิ้ง,พิษณุโลก,16:00-19:00,3,2384.0,1613.6666666666667,1924.0
บางรัก,สีลม,07:00-09:00,2,676.0,415.0,748.0
บางรัก,เจริญกรุง,07:00-09:00,2,1483.5,919.0,1536.5
ประตูน้ำ,ราชดำริ,07:00-09:00,3,2157.0,1679.5,1410.0
ประตูน้ำ,ราชปรารภ,07:00-09:00,3,928.0,937.0,563.5
ประตูน้ำ,เพชรบุรี,07:00-09:00,3,3247.0,3969.0,1811.5
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,07:00-09:00,1,6863.5,7818.0,7135.0
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประเสริฐมนูกิจ,07:00-09:00,1,7078.5,6239.5,6734.0
