intersection_key,road_key,time_key,report_quarter,covid_period,median,mean,size
คลองเตย,พระรามที่ 4,07:00-09:00,4,ก่อนโควิด,3735.0,3735.0,1
คลองเตย,พระรามที่ 4,07:00-09:00,4,หลังโควิด,2590.0,2590.0,1
คลองเตย,พระรามที่ 4,07:00-09:00,4,โควิด,4121.5,4121.5,1
คลองเตย,สุนทรโกษา,07:00-09:00,4,ก่อนโควิด,1125.5,1125.5,1
คลองเตย,สุนทรโกษา,07:00-09:00,4,หลังโควิด,979.5,979.5,1
คลองเตย,สุนทรโกษา,07:00-09:00,4,โควิด,977.5,977.5,1
คอกวัว,ตะนาว,07:00-09:00,3,ก่อนโควิด,1049.5,1049.5,2
คอกวัว,ตะนาว,07:00-09:00,3,หลังโควิด,892.25,892.25,2
คอกวัว,ตะนาว,07:00-09:00,3,โควิด,744.0,744.0,1
คอกวัว,ตะนาว,09:00-16:00,3,ก่อนโควิด,1320.9285714285716,1320.9285714285716,2
คอกวัว,ตะนาว,09:00-16:00,3,หลังโควิด,1031.857142857143,1031.857142857143,1
คอกวัว,ตะนาว,09:00-16:00,3,โควิด,854.2857142857143,854.2857142857143,1
คอกวัว,ตะนาว,16:00-19:00,3,ก่อนโควิด,1393.8333333333335,1393.8333333333335,2
คอกวัว,ตะนาว,16:00-19:00,3,หลังโควิด,1120.3333333333333,1120.3333333333333,1
คอกวัว,ตะนาว,16:00-19:00,3,โควิด,1246.3333333333333,1246.3333333333333,1
คอกวัว,ราชดำเนินกลาง,07:00-09:00,3,ก่อนโควิด,3805.25,3805.25,2
คอกวัว,ราชดำเนินกลาง,07:00-09:00,3,หลังโควิด,4155.5,4155.5,2
คอกวัว,ราชดำเนินกลาง,07:00-09:00,3,โควิด,3778.5,3778.5,1
คอกวัว,ราชดำเนินกลาง,09:00-16:00,3,ก่อนโควิด,4376.357142857143,4376.357142857143,2
คอกวัว,ราชดำเนินกลาง,09:00-16:00,3,หลังโควิด,5082.714285714285,5082.714285714285,1
คอกวัว,ราชดำเนินกลาง,09:00-16:00,3,โควิด,4285.857142857143,4285.857142857143,1
คอกวัว,ราชดำเนินกลาง,16:00-19:00,3,ก่อนโควิด,3675.1666666666665,3675.1666666666665,2
คอกวัว,ราชดำเนินกลาง,16:00-19:00,3,หลังโควิด,5744.333333333333,5744.333333333333,1
คอกวัว,ราชดำเนินกลาง,16:00-19:00,3,โควิด,4346.0,4346.0,1
จันทน์ - นราธิวาส,จันทน์,07:00-09:00,3,ก่อนโควิด,1185.5,1185.5,1
จันทน์ - นราธิวาส,จันทน์,07:00-09:00,3,หลังโควิด,1055.75,1055.75,2
จันทน์ - นราธิวาส,จันทน์,07:00-09:00,3,โควิด,908.0,908.0,1
จันทน์ - นราธิวาส,จันทน์,09:00-16:00,3,ก่อนโควิด,1203.0,1203.0,1
จันทน์ - นราธิวาส,จันทน์,09:00-16:00,3,หลังโควิด,919.8571428571429,919.8571428571429,1
จันทน์ - นราธิวาส,จันทน์,09:00-16:00,3,โควิด,937.1428571428571,937.1428571428571,1
จันทน์ - นราธิวาส,จันทน์,16:00-19:00,3,ก่อนโควิด,1340.6666666666667,1340.6666666666667,1
จันทน์ - นราธิวาส,จันทน์,16:00-19:00,3,หลังโควิด,1119.3333333333333,1119.3333333333333,1
จันทน์ - นราธิวาส,จันทน์,16:00-19:00,3,โควิด,904.3333333333334,904.3333333333334,1
ดาวคะนอง,จอมทอง,07:00-09:00,1,ก่อนโควิด,1106.5,1106.5,1
ดาวคะนอง,จอมทอง,07:00-09:00,1,หลังโควิด,860.0,860.0,1
ดาวคะนอง,จอมทอง,07:00-09:00,1,โควิด,671.5,671.5,1
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,07:00-09:00,1,ก่อนโควิด,5152.5,5152.5,1
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,07:00-09:00,1,หลังโควิด,3399.5,3399.5,1
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,07:00-09:00,1,โควิด,5439.5,5439.5,1
ทองหล่อ,สุขุมวิท,07:00-09:00,4,ก่อนโควิด,1808.75,1808.75,2
ทองหล่อ,สุขุมวิท,07:00-09:00,4,หลังโควิด,2661.0,2661.0,1
ทองหล่อ,สุขุมวิท,07:00-09:00,4,โควิด,2204.0,2204.0,1
นางเลิ้ง,นครสวรรค์,09:00-16:00,3,ก่อนโควิด,2745.285714285714,2745.285714285714,1
นางเลิ้ง,นครสวรรค์,09:00-16:00,3,หลังโควิด,2408.5714285714284,2408.5714285714284,1
นางเลิ้ง,นครสวรรค์,09:00-16:00,3,โควิด,2327.8571428571427,2327.8571428571427,1
นางเลิ้ง,พิษณุโลก,07:00-09:00,3,ก่อนโควิด,3352.0,3352.0,1
นางเลิ้ง,พิษณุโลก,07:00-09:00,3,หลังโควิด,2376.0,2376.0,1
นางเลิ้ง,พิษณุโลก,07:00-09:00,3,โควิด,2535.0,2535.0,1
นางเลิ้ง,พิษณุโลก,09:00-16:00,3,ก่อนโควิด,2313.1428571428573,2313.1428571428573,1
นางเลิ้ง,พิษณุโลก,09:00-16:00,3,หลังโควิด,1910.0,1910.0,1
นางเลิ้ง,พิษณุโลก,09:00-16:00,3,โควิด,1826.4285714285713,1826.4285714285713,1
นางเลิ้ง,พิษณุโลก,16:00-19:00,3,ก่อนโควิด,2384.0,2384.0,1
นางเลิ้ง,พิษณุโลก,16:00-19:00,3,หลังโควิด,1924.0,1924.0,1
นางเลิ้ง,พิษณุโลก,16:00-19:00,3,โควิด,1613.6666666666667,1613.6666666666667,1
บางรัก,สีลม,07:00-09:00,2,ก่อนโควิด,676.0,676.0,1
บางรัก,สีลม,07:00-09:00,2,หลังโควิด,748.0,748.0,1
บางรัก,สีลม,07:00-09:00,2,โควิด,415.0,415.0,1
บางรัก,เจริญกรุง,07:00-09:00,2,ก่อนโควิด,1483.5,1483.5,1
บางรัก,เจริญกรุง,07:00-09:00,2,หลังโควิด,1536.5,1536.5,1
บางรัก,เจริญกรุง,07:00-09:00,2,โควิด,919.0,919.0,1
ประตูน้ำ,ราชดำริ,07:00-09:00,3,ก่อนโควิด,2157.0,2157.0,1
ประตูน้ำ,ราชดำริ,07:00-09:00,3,หลังโควิด,1410.0,1410.0,1
ประตูน้ำ,ราชดำริ,07:00-09:00,3,โควิด,1679.5,1679.5,1
ประตูน้ำ,ราชปรารภ,07:00-09:00,3,ก่อนโควิด,928.0,928.0,1
ประตูน้ำ,ราชปรารภ,07:00-09:00,3,หลังโควิด,563.5,563.5,1
ประตูน้ำ,ราชปรารภ,07:00-09:00,3,โควิด,937.0,937.0,1
ประตูน้ำ,เพชรบุรี,07:00-09:00,3,ก่อนโควิด,3247.0,3247.0,1
ประตูน้ำ,เพชรบุรี,07:00-09:00,3,หลังโควิด,1811.5,1811.5,1
ประตูน้ำ,เพชรบุรี,07:00-09:00,3,โควิด,3969.0,3969.0,1
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,07:00-09:00,1,ก่อนโควิด,6863.5,6863.5,1
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,07:00-09:00,1,หลังโควิด,7135.0,7135.0,1
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,07:00-09:00,1,โควิด,7818.0,7818.0,1
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประเสริฐมนูกิจ,07:00-09:00,1,ก่อนโควิด,7078.5,7078.5,1
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประเสริฐมนูกิจ,07:00-09:00,1,หลังโควิด,6734.0,6734.0,1
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประเสริฐมนูกิจ,07:00-09:00,1,โควิด,6239.5,6239.5,1
พัฒนาการ,พัฒนาการ,07:00-09:00,2,ก่อนโควิด,3219.0,3219.0,2
พัฒนาการ,พัฒนาการ,07:00-09:00,2,หลังโควิด,3707.5,3707.5,1
พัฒนาการ,พัฒนาการ,07:00-09:00,2,โควิด,3495.5,3495.5,1
พัฒนาการ,ศรีนครินทร์,07:00-09:00,2,ก่อนโควิด,4027.0,4027.0,2
พัฒนาการ,ศรีนครินทร์,07:00-09:00,2,หลังโควิด,5039.5,5039.5,1
พัฒนาการ,ศรีนครินทร์,07:00-09:00,2,โควิด,4400.0,4400.0,1
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,07:00-09:00,2,ก่อนโควิด,883.5,883.5,1
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,07:00-09:00,2,หลังโควิด,899.5,899.5,1
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,07:00-09:00,2,โควิด,672.5,672.5,1
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,09:00-16:00,2,ก่อนโควิด,1028.0,1028.0,1
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,09:00-16:00,2,หลังโควิด,715.1428571428571,715.1428571428571,1
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,09:00-16:00,2,โควิด,828.1428571428571,828.1428571428571,1
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,16:00-19:00,2,ก่อนโควิด,857.6666666666666,857.6666666666666,1
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,16:00-19:00,2,หลังโควิด,879.0,879.0,1
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,16:00-19:00,2,โควิด,793.0,793.0,1
พุทธมณฑลสาย 2,เพชรเกษม,07:00-09:00,2,ก่อนโควิด,7094.0,7094.0,1
พุทธมณฑลสาย 2,เพชรเกษม,07:00-09:00,2,หลังโควิด,7161.5,7161.5,1
พุทธมณฑลสาย 2,เพชรเกษม,07:00-09:00,2,โควิด,6800.5,6800.5,1
พุทธมณฑลสาย 2,เพชรเกษม,09:00-16:00,2,ก่อนโควิด,6630.714285714285,6630.714285714285,1
พุทธมณฑลสาย 2,เพชรเกษม,09:00-16:00,2,หลังโควิด,6148.714285714285,6148.714285714285,1
พุทธมณฑลสาย 2,เพชรเกษม,09:00-16:00,2,โควิด,6585.142857142857,6585.142857142857,1
พุทธมณฑลสาย 2,เพชรเกษม,16:00-19:00,2,ก่อนโควิด,7740.333333333333,7740.333333333333,1
พุทธมณฑลสาย 2,เพชรเกษม,16:00-19:00,2,หลังโควิด,5990.666666666667,5990.666666666667,1
พุทธมณฑลสาย 2,เพชรเกษม,16:00-19:00,2,โควิด,6806.666666666667,6806.666666666667,1
ยุคล 2,ยุคล 2,07:00-09:00,4,ก่อนโควิด,419.0,419.0,1
ยุคล 2,ยุคล 2,07:00-09:00,4,หลังโควิด,334.5,334.5,1
ยุคล 2,ยุคล 2,07:00-09:00,4,โควิด,317.0,317.0,1
ราชดำริ,ราชดำริ,07:00-09:00,2,ก่อนโควิด,2356.5,2356.5,2
ราชดำริ,ราชดำริ,07:00-09:00,2,หลังโควิด,2071.5,2071.5,1
ราชดำริ,ราชดำริ,07:00-09:00,2,โควิด,2300.0,2300.0,1
ราชดำริ,สารสิน,07:00-09:00,2,ก่อนโควิด,857.75,857.75,2
ราชดำริ,สารสิน,07:00-09:00,2,หลังโควิด,1390.5,1390.5,1
ราชดำริ,สารสิน,07:00-09:00,2,โควิด,501.5,501.5,1
รามคำแหง,พระราม 9,07:00-09:00,3,ก่อนโควิด,7679.0,7679.0,1
รามคำแหง,พระราม 9,07:00-09:00,3,หลังโควิด,6286.5,6286.5,2
รามคำแหง,พระราม 9,07:00-09:00,3,โควิด,5951.0,5951.0,1
รามคำแหง,พระราม 9,09:00-16:00,3,ก่อนโควิด,7184.571428571428,7184.571428571428,1
รามคำแหง,พระราม 9,09:00-16:00,3,หลังโควิด,7777.714285714285,7777.714285714285,1
รามคำแหง,พระราม 9,09:00-16:00,3,โควิด,6400.857142857143,6400.857142857143,1
รามคำแหง,พระราม 9,16:00-19:00,3,ก่อนโควิด,7051.666666666667,7051.666666666667,1
รามคำแหง,พระราม 9,16:00-19:00,3,หลังโควิด,8041.666666666667,8041.666666666667,1
รามคำแหง,พระราม 9,16:00-19:00,3,โควิด,6454.0,6454.0,1
รามคำแหง,รามคำแหง,07:00-09:00,3,ก่อนโควิด,3827.5,3827.5,1
รามคำแหง,รามคำแหง,07:00-09:00,3,หลังโควิด,3702.75,3702.75,2
รามคำแหง,รามคำแหง,07:00-09:00,3,โควิด,4380.5,4380.5,1
รามคำแหง,รามคำแหง,09:00-16:00,3,ก่อนโควิด,3351.5714285714284,3351.5714285714284,1
รามคำแหง,รามคำแหง,09:00-16:00,3,หลังโควิด,2934.714285714286,2934.714285714286,1
รามคำแหง,รามคำแหง,09:00-16:00,3,โควิด,2865.285714285714,2865.285714285714,1
รามคำแหง,รามคำแหง,16:00-19:00,3,ก่อนโควิด,3395.3333333333335,3395.3333333333335,1
รามคำแหง,รามคำแหง,16:00-19:00,3,หลังโควิด,3570.0,3570.0,1
รามคำแหง,รามคำแหง,16:00-19:00,3,โควิด,2784.0,2784.0,1
วัดสน,สุขสวัสดิ์,07:00-09:00,1,ก่อนโควิด,4756.5,4756.5,1
วัดสน,สุขสวัสดิ์,07:00-09:00,1,หลังโควิด,4989.0,4989.0,1
วัดสน,สุขสวัสดิ์,07:00-09:00,1,โควิด,6327.0,6327.0,1
ศรีอยุธยา,พระรามที่ 6,07:00-09:00,4,ก่อนโควิด,4222.5,4222.5,1
ศรีอยุธยา,พระรามที่ 6,07:00-09:00,4,หลังโควิด,2991.0,2991.0,1
ศรีอยุธยา,พระรามที่ 6,07:00-09:00,4,โควิด,2638.5,2638.5,1
ศรีอยุธยา,ศรีอยุธยา,07:00-09:00,4,ก่อนโควิด,3675.0,3675.0,1
ศรีอยุธยา,ศรีอยุธยา,07:00-09:00,4,หลังโควิด,3150.0,3150.0,1
ศรีอยุธยา,ศรีอยุธยา,07:00-09:00,4,โควิด,3609.5,3609.5,1
สะพานควาย,ประดิพัทธ์,07:00-09:00,3,ก่อนโควิด,1052.5,1052.5,1
สะพานควาย,ประดิพัทธ์,07:00-09:00,3,หลังโควิด,718.5,718.5,1
สะพานควาย,ประดิพัทธ์,07:00-09:00,3,โควิด,1043.0,1043.0,1
สะพานควาย,พหลโยธิน,07:00-09:00,3,ก่อนโควิด,2770.0,2770.0,1
สะพานควาย,พหลโยธิน,07:00-09:00,3,หลังโควิด,2261.5,2261.5,1
สะพานควาย,พหลโยธิน,07:00-09:00,3,โควิด,3657.0,3657.0,1
สะพานควาย,สุทธิสาร,07:00-09:00,3,ก่อนโควิด,1079.5,1079.5,1
สะพานควาย,สุทธิสาร,07:00-09:00,3,หลังโควิด,768.0,768.0,1
สะพานควาย,สุทธิสาร,07:00-09:00,3,โควิด,730.0,730.0,1
สาธุประดิษฐ์,สาธุประดิษฐ์,09:00-16:00,2,ก่อนโควิด,617.5714285714286,617.5714285714286,1
สาธุประดิษฐ์,สาธุประดิษฐ์,09:00-16:00,2,หลังโควิด,427.7142857142857,427.7142857142857,1
สาธุประดิษฐ์,สาธุประดิษฐ์,09:00-16:00,2,โควิด,637.2857142857143,637.2857142857143,1
สามเสน,นครไชยศรี,07:00-09:00,4,ก่อนโควิด,967.0,967.0,1
สามเสน,นครไชยศรี,07:00-09:00,4,หลังโควิด,932.5,932.5,1
สามเสน,นครไชยศรี,07:00-09:00,4,โควิด,1013.0,1013.0,1
สามเสน,สวรรคโลก,07:00-09:00,4,ก่อนโควิด,842.5,842.5,1
สามเสน,สวรรคโลก,07:00-09:00,4,หลังโควิด,823.5,823.5,1
สามเสน,สวรรคโลก,07:00-09:00,4,โควิด,1200.5,1200.5,1
สามเสน,เทอดดำริ,07:00-09:00,4,ก่อนโควิด,847.0,847.0,1
สามเสน,เทอดดำริ,07:00-09:00,4,หลังโควิด,849.5,849.5,1
สามเสน,เทอดดำริ,07:00-09:00,4,โควิด,890.0,890.0,1
หมอมี,พระรามที่ 4,07:00-09:00,4,ก่อนโควิด,524.0,524.0,1
หมอมี,พระรามที่ 4,07:00-09:00,4,หลังโควิด,683.0,683.0,1
หมอมี,พระรามที่ 4,07:00-09:00,4,โควิด,356.5,356.5,1
หมอมี,เจริญกรุง,07:00-09:00,4,ก่อนโควิด,2420.5,2420.5,1
หมอมี,เจริญกรุง,07:00-09:00,4,หลังโควิด,945.5,945.5,1
หมอมี,เจริญกรุง,07:00-09:00,4,โควิด,1324.5,1324.5,1
หลักสี่,กำแพงเพชร 6,07:00-09:00,2,ก่อนโควิด,2130.5,2130.5,1
หลักสี่,กำแพงเพชร 6,07:00-09:00,2,หลังโควิด,1049.0,1049.0,1
หลักสี่,กำแพงเพชร 6,07:00-09:00,2,โควิด,918.5,918.5,1
หลักสี่,แจ้งวัฒนะ,07:00-09:00,2,ก่อนโควิด,2962.0,2962.0,1
หลักสี่,แจ้งวัฒนะ,07:00-09:00,2,หลังโควิด,2450.0,2450.0,1
หลักสี่,แจ้งวัฒนะ,07:00-09:00,2,โควิด,2121.5,2121.5,1
หัวลำโพง,พระรามที่ 4,07:00-09:00,1,ก่อนโควิด,3988.5,3988.5,1
หัวลำโพง,พระรามที่ 4,07:00-09:00,1,หลังโควิด,4635.5,4635.5,1
หัวลำโพง,พระรามที่ 4,07:00-09:00,1,โควิด,2285.0,2285.0,1
หัวลำโพง,มหาพฤฒาราม,07:00-09:00,1,ก่อนโควิด,483.5,483.5,1
หัวลำโพง,มหาพฤฒาราม,07:00-09:00,1,หลังโควิด,1051.0,1051.0,1
หัวลำโพง,มหาพฤฒาราม,07:00-09:00,1,โควิด,431.0,431.0,1
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,4,ก่อนโควิด,6290.5,6290.5,1
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,4,หลังโควิด,6047.5,6047.5,1
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,4,โควิด,5827.0,5827.0,1
อนามัย,พลับพลาไชย,07:00-09:00,4,ก่อนโควิด,879.0,879.0,1
อนามัย,พลับพลาไชย,07:00-09:00,4,หลังโควิด,505.0,505.0,1
อนามัย,พลับพลาไชย,07:00-09:00,4,โควิด,830.0,830.0,1
อุรุพงษ์,พระรามที่ 6,07:00-09:00,2,ก่อนโควิด,4112.5,4112.5,1
อุรุพงษ์,พระรามที่ 6,07:00-09:00,2,หลังโควิด,2305.5,2305.5,1
อุรุพงษ์,พระรามที่ 6,07:00-09:00,2,โควิด,1576.5,1576.5,1
อุรุพงษ์,เพชรบุรี,07:00-09:00,2,ก่อนโควิด,4077.5,4077.5,1
อุรุพงษ์,เพชรบุรี,07:00-09:00,2,หลังโควิด,2172.0,2172.0,1
อุรุพงษ์,เพชรบุรี,07:00-09:00,2,โควิด,2045.5,2045.5,1
เกษมราษฎร์,พระรามที่ 4,07:00-09:00,2,ก่อนโควิด,3536.5,3536.5,1
เกษมราษฎร์,พระรามที่ 4,07:00-09:00,2,หลังโควิด,3436.5,3436.5,1
เกษมราษฎร์,พระรามที่ 4,07:00-09:00,2,โควิด,3091.5,3091.5,1
เกษมราษฎร์,พระรามที่ 4,09:00-16:00,2,ก่อนโควิด,4038.5714285714284,4038.5714285714284,1
เกษมราษฎร์,พระรามที่ 4,09:00-16:00,2,หลังโควิด,3687.1428571428573,3687.1428571428573,1
เกษมราษฎร์,พระรามที่ 4,09:00-16:00,2,โควิด,3402.8571428571427,3402.8571428571427,1
เกษมราษฎร์,พระรามที่ 4,16:00-19:00,2,ก่อนโควิด,4150.0,4150.0,1
เกษมราษฎร์,พระรามที่ 4,16:00-19:00,2,หลังโควิด,4083.6666666666665,4083.6666666666665,1
เกษมราษฎร์,พระรามที่ 4,16:00-19:00,2,โควิด,3558.6666666666665,3558.6666666666665,1
เกษมราษฎร์,เกษมราษฎร์,09:00-16:00,2,ก่อนโควิด,548.1428571428571,548.1428571428571,1
เกษมราษฎร์,เกษมราษฎร์,09:00-16:00,2,หลังโควิด,727.5714285714286,727.5714285714286,1
เกษมราษฎร์,เกษมราษฎร์,09:00-16:00,2,โควิด,546.0,546.0,1
เตาปูน,ประชาราษฎร์สาย 2,07:00-09:00,3,ก่อนโควิด,1682.5,1682.5,1
เตาปูน,ประชาราษฎร์สาย 2,07:00-09:00,3,หลังโควิด,1735.0,1735.0,1
เตาปูน,ประชาราษฎร์สาย 2,07:00-09:00,3,โควิด,1041.0,1041.0,1
แบริ่ง,สุขุมวิท,07:00-09:00,4,ก่อนโควิด,3737.5,3737.5,1
แบริ่ง,สุขุมวิท,07:00-09:00,4,หลังโควิด,3755.5,3755.5,1
แบริ่ง,สุขุมวิท,07:00-09:00,4,โควิด,3785.0,3785.0,1
โพธิ์สามต้น,วังเดิม,07:00-09:00,3,ก่อนโควิด,427.0,427.0,1
โพธิ์สามต้น,วังเดิม,07:00-09:00,3,หลังโควิด,365.0,365.0,1
โพธิ์สามต้น,วังเดิม,07:00-09:00,3,โควิด,377.0,377.0,1
โพธิ์สามต้น,อิสรภาพ,07:00-09:00,3,ก่อนโควิด,2021.5,2021.5,1
โพธิ์สามต้น,อิสรภาพ,07:00-09:00,3,หลังโควิด,1717.0,1717.0,1
โพธิ์สามต้น,อิสรภาพ,07:00-09:00,3,โควิด,1321.5,1321.5,1
