intersection_key,road_key,time_key,survey_month,Before,During,After
บางรัก,สีลม,07:00-09:00,6,676.0,415.0,748.0
บางรัก,เจริญกรุง,07:00-09:00,6,1483.5,919.0,1536.5
พัฒนาการ,พัฒนาการ,07:00-09:00,4,3219.0,3495.5,3707.5
พัฒนาการ,ศรีนครินทร์,07:00-09:00,4,4027.0,4400.0,5039.5
รามคำแหง,พระราม 9,07:00-09:00,7,7679.0,5951.0,6739.0
รามคำแหง,พระราม 9,09:00-16:00,7,7184.571428571428,6400.857142857143,7777.714285714285
รามคำแหง,พระราม 9,16:00-19:00,7,7051.666666666667,6454.0,8041.666666666667
รามคำแหง,รามคำแหง,07:00-09:00,7,3827.5,4380.5,3512.0
รามคำแหง,รามคำแหง,09:00-16:00,7,3351.5714285714284,2865.285714285714,2934.714285714286
รามคำแหง,รามคำแหง,16:00-19:00,7,3395.3333333333335,2784.0,3570.0
ศรีอยุธยา,พระรามที่ 6,07:00-09:00,12,4222.5,2638.5,2991.0
ศรีอยุธยา,ศรีอยุธยา,07:00-09:00,12,3675.0,3609.5,3150.0
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,12,6290.5,5827.0,6047.5
อุรุพงษ์,พระรามที่ 6,07:00-09:00,5,4112.5,1576.5,2305.5
อุรุพงษ์,เพชรบุรี,07:00-09:00,5,4077.5,2045.5,2172.0
