source_excel_row,intersection_key,road_key,time_key,report_month,report_year,comparison,vehicles_per_hour
62,บางขุนนนท์,จรัญสนิทวงศ์,07:00-09:00,3,2017,Before,1967.0
404,บางยี่เรือ,เทอดไท,07:00-09:00,5,2017,Before,792.5
407,บางยี่เรือ,เพชรเกษม,07:00-09:00,5,2017,Before,1813.0
410,บางยี่เรือ,อินทรพิทักษ์,07:00-09:00,5,2017,Before,1489.5
1985,อุรุพงษ์,พระรามที่ 6,07:00-09:00,5,2018,Before,4112.5
1988,อุรุพงษ์,เพชรบุรี,07:00-09:00,5,2018,Before,4077.5
16635,บางขุนนนท์,จรัญสนิทวงศ์,07:00-09:00,3,2026,2026 YTD,2560.5
16872,อุรุพงษ์,พระรามที่ 6,07:00-09:00,5,2026,2026 YTD,2305.5
16875,อุรุพงษ์,เพชรบุรี,07:00-09:00,5,2026,2026 YTD,2172.0
16887,บางยี่เรือ,เทอดไท,07:00-09:00,5,2026,2026 YTD,368.5
16890,บางยี่เรือ,เพชรเกษม,07:00-09:00,5,2026,2026 YTD,1131.0
16893,บางยี่เรือ,อินทรพิทักษ์,07:00-09:00,5,2026,2026 YTD,717.5
