intersection_key,road_key,survey_date_parsed,07:00-09:00,09:00-16:00,16:00-19:00
นราธิวาส - สุรวงศ์,นราธิวาสราชนครินทร์,2023-12-28,1086.5,1182.428571428571,1257.3333333333333
นราธิวาส - สุรวงศ์,สุรวงศ์,2023-12-28,1715.0,2147.285714285714,2106.333333333333
ภาวนา,ลาดพร้าว,2023-12-27,2386.5,2453.8571428571427,2225.333333333333
ภาวนา,ลาดพร้าว 37,2023-12-27,15.0,11.428571428571429,17.666666666666668
ภาวนา,ลาดพร้าว 41,2023-12-27,311.0,176.85714285714286,89.33333333333333
ภาวนา,ลาดพร้าว 44,2023-12-27,87.0,30.0,21.666666666666668
ราษฎร์อุทิศ 18,ราษฎร์อุทิศ,2023-12-26,2192.5,1691.571428571429,1587.3333333333333
ราษฎร์อุทิศ 18,ราษฎร์อุทิศ 18,2023-12-26,10.0,9.285714285714286,7.0
ราษฎร์อุทิศ 38/1,ราษฎร์อุทิศ,2023-12-26,1870.5,1702.142857142857,1800.6666666666667
ราษฎร์อุทิศ 38/1,ราษฎร์อุทิศ 38/1,2023-12-26,4.0,3.142857142857143,3.0
สวนมิกสกวัน,พิษณุโลก,2023-12-21,1505.5,1423.428571428571,1406.0
สวนมิกสกวัน,ราชดำเนินนอก,2023-12-21,1764.5,1784.571428571429,1464.0
สะพานแดง,ทหาร,2023-12-22,742.5,613.0,661.3333333333334
สะพานแดง,ประดิพัทธ์,2023-12-22,679.0,646.4285714285714,656.3333333333334
สะพานแดง,พระรามที่ 5,2023-12-22,560.5,676.1428571428571,1157.6666666666667
สะพานแดง,เตชะวณิช,2023-12-22,1178.0,695.0,604.0
สุโขทัย,พระรามที่ 5,2023-12-29,1551.5,1303.0,1331.6666666666667
สุโขทัย,สุโขทัย,2023-12-29,1265.5,1219.857142857143,1241.0
หน้าแฟลตทหารเรือ,จ่าโสด,2023-12-20,59.0,30.571428571428573,37.333333333333336
หน้าแฟลตทหารเรือ,ทางรถไฟสายเก่า,2023-12-20,848.5,922.8571428571428,585.3333333333334
หน้าแฟลตทหารเรือ,ทางเข้าออกแฟลตทหารเรือ,2023-12-20,216.0,58.57142857142857,71.0
เฉลิมกรุง,ตีทอง,2023-12-16,308.0,257.42857142857144,263.3333333333333
เฉลิมกรุง,เจริญกรุง,2023-12-16,1095.5,913.0,952.0
เพชรเกษม 69 - อินทราปัจ 13,อินทราปัจ 13,2023-12-19,293.5,165.28571428571428,291.6666666666667
เพชรเกษม 69 - อินทราปัจ 13,เพชรเกษม 69,2023-12-19,1128.0,1110.428571428571,1094.3333333333333
เพชรเกษม 69 - อินทราปัจ 13,เลียบคลองภาษีเจริญฝั่งเหนือ,2023-12-19,515.0,428.8571428571428,406.3333333333333
