intersection_key,road_key,07:00-09:00,09:00-16:00,16:00-19:00,visits,code
หน้าแฟลตทหารเรือ,ทางเข้าออกแฟลตทหารเรือ,3.6878048780487807,1.0,1.2121951219512195,1,P01
ภาวนา,ลาดพร้าว 44,2.9,1.0,0.7222222222222222,1,P02
หน้าแฟลตทหารเรือ,จ่าโสด,1.9299065420560746,1.0,1.2211838006230529,1,P03
เพชรเกษม 69 - อินทราปัจ 13,อินทราปัจ 13,1.77571305099395,1.0,1.7646211466436188,1,P04
ภาวนา,ลาดพร้าว 41,1.758481421647819,1.0,0.5051157781367797,1,P05
สะพานแดง,เตชะวณิช,1.6949640287769785,1.0,0.8690647482014389,1,P06
ภาวนา,ลาดพร้าว 37,1.3125,1.0,1.5458333333333334,1,P07
ราษฎร์อุทิศ 18,ราษฎร์อุทิศ,1.2961320834388985,1.0,0.938377952312586,1,P08
ราษฎร์อุทิศ 38/1,ราษฎร์อุทิศ 38/1,1.2727272727272727,1.0,0.9545454545454546,1,P09
สะพานแดง,ทหาร,1.2112561174551386,1.0,1.078847199564981,1,P10
เพชรเกษม 69 - อินทราปัจ 13,เลียบคลองภาษีเจริญฝั่งเหนือ,1.2008660892738177,1.0,0.9474794581390186,1,P11
เฉลิมกรุง,เจริญกรุง,1.1998904709748084,1.0,1.0427163198247535,1,P12
เฉลิมกรุง,ตีทอง,1.1964483906770254,1.0,1.0229374768775434,1,P13
สุโขทัย,พระรามที่ 5,1.1907137375287797,1.0,1.0220005116398057,1,P14
ราษฎร์อุทิศ 38/1,ราษฎร์อุทิศ,1.0989089383130508,1.0,1.057882221289691,1,P15
ราษฎร์อุทิศ 18,ราษฎร์อุทิศ 18,1.0769230769230769,1.0,0.7538461538461538,1,P16
สวนมิกสกวัน,พิษณุโลก,1.0576575672420716,1.0,0.9877559213167405,1,P17
สะพานแดง,ประดิพัทธ์,1.0503867403314917,1.0,1.0153222836095765,1,P18
สุโขทัย,สุโขทัย,1.0374165593160791,1.0,1.0173322403091696,1,P19
เพชรเกษม 69 - อินทราปัจ 13,เพชรเกษม 69,1.0158240061752222,1.0,0.9855053818774392,1,P20
สวนมิกสกวัน,ราชดำเนินนอก,0.9887528017931474,1.0,0.8203650336215176,1,P21
ภาวนา,ลาดพร้าว,0.9725505035803692,1.0,0.9068715918573286,1,P22
หน้าแฟลตทหารเรือ,ทางรถไฟสายเก่า,0.9194272445820434,1.0,0.6342621259029929,1,P23
นราธิวาส - สุรวงศ์,นราธิวาสราชนครินทร์,0.9188715718255409,1.0,1.063348234062261,1,P24
สะพานแดง,พระรามที่ 5,0.828966828649905,1.0,1.7121628283681951,1,P25
นราธิวาส - สุรวงศ์,สุรวงศ์,0.7986827223737609,1.0,0.9809283037278512,1,P26
