intersection,days,roads,median_largest_road_share,equal_share_reference,road_set,code
วัดสน,2,2,98.56905521337119,50.0,สุขสวัสดิ์ / สุขสวัสดิ์ 35,J01
ลาซาล,2,2,95.80823965860664,50.0,สุขุมวิท / สุขุมวิท 105,J02
เกตุนุช,2,2,93.67709017311212,50.0,ลาดพร้าว / ลาดพร้าว 64,J03
บางแค,2,2,92.37961382401994,50.0,บางแค / เพชรเกษม,J04
จันทิมา,2,2,91.76087164056575,50.0,ลาดพร้าว / ลาดพร้าว 80,J05
กษัตริย์ศึก,2,2,91.23814679838658,50.0,กรุงเกษม / บำรุงเมือง,J06
ลาดปลาเค้า,2,2,90.69867813517209,50.0,รามอินทรา / ลาดปลาเค้า,J07
พระโขนง,3,2,90.14925373134328,50.0,พระรามที่ 4 / สุขุมวิท,J08
สุขุมวิท 39,2,2,88.88839428388805,50.0,สุขุมวิท / สุขุมวิท 39,J09
แปลงนาม,2,3,88.65006953439476,33.333333333333336,พลับพลาไชย / เจริญกรุง / แปลงนาม,J10
สาทร - คอนแวนต์,2,2,86.54513520615976,50.0,คอนแวนต์ / สาทร,J11
เพชรเกษม 81,2,2,86.40185827196703,50.0,เพชรเกษม / เพชรเกษม 81,J12
พัฒนาการ - พัฒนาการ 53,2,2,86.0267464350968,50.0,พัฒนาการ / พัฒนาการ 53,J13
เจริญราษฎร์,3,2,85.56215190648142,50.0,พระรามที่ 3 / เจริญราษฎร์,J14
ทุ่งสาธิต,2,2,84.92345886540201,50.0,สุขุมวิท / สุขุมวิท 101/1,J15
หัวลำโพง,2,2,83.69220281014566,50.0,พระรามที่ 4 / มหาพฤฒาราม,J16
รัชดา - สุทธิสาร,2,2,83.58512813843821,50.0,รัชดาภิเษก / สุทธิสารวินิจฉัย,J17
เกษมราษฎร์,3,2,83.06721128852581,50.0,พระรามที่ 4 / เกษมราษฎร์,J18
กรุงธนบุรีใต้,2,2,83.04166230797296,50.0,กรุงธนบุรี / เจริญนคร,J19
โพธิ์สามต้น,2,2,82.88728257158962,50.0,วังเดิม / อิสรภาพ,J20
หทัยราษฎร์ - สุวินทวงศ์,2,2,80.55524730760737,50.0,สุวินทวงศ์ / หทัยราษฎร์,J21
วิสุทธิกษัตริย์,2,2,79.55215842179163,50.0,ประชาธิปไตย / วิสุทธิกษัตริย์,J22
อุดมสุข,2,2,79.40296237700801,50.0,สุขุมวิท / สุขุมวิท 103,J23
บ้านแขก,2,2,79.3383387161588,50.0,ประชาธิปก / อิสรภาพ,J24
พงษ์เพชร,2,2,77.85693867147589,50.0,งามวงศ์วาน / ประชาชื่น,J25
ห้วยขวาง,2,3,77.63579119490909,33.333333333333336,ประชาราษฎร์บำเพ็ญ / ประชาสงเคราะห์ / รัชดาภิเษก,J26
ผ่องพลอย,2,3,76.35999495822354,33.333333333333336,ลาซาล / ลาซาล 46 / ลาซาล 55,J27
สุรศักดิ์,2,2,76.00442960795073,50.0,มเหสักข์ / สีลม,J28
ประเวศ,2,2,75.62703383179286,50.0,อ่อนนุช / เฉลิมพระเกียรติ ร.9,J29
นวมินทร์ - แฮปปี้แลนด์,2,2,74.62496252454552,50.0,นวมินทร์ / แฮปปี้แลนด์,J30
สุขุมวิท 42,2,2,74.21243270776439,50.0,สุขุมวิท / สุขุมวิท 42,J31
พัฒนาการ 25,2,2,74.20766799059739,50.0,พัฒนาการ / พัฒนาการ 25,J32
ถนนตก,2,2,74.11009857801483,50.0,พระรามที่ 3 / เจริญกรุง,J33
พรานนก,2,2,73.91845558332913,50.0,พรานนก / อิสรภาพ,J34
จันทน์ - เจริญราษฎร์,2,2,73.59594705800404,50.0,จันทน์ / เจริญราษฎร์,J35
คลองเตย,2,2,73.46177721394655,50.0,พระรามที่ 4 / สุนทรโกษา,J36
กำแพงเพชร,2,3,72.9595521294645,33.333333333333336,กำแพงเพชร / พหลโยธิน / พหลโยธิน 18,J37
เพลินจิต,3,2,72.47687564234326,50.0,วิทยุ / เพลินจิต,J38
ทองหล่อ,3,2,71.13071371291099,50.0,สุขุมวิท / สุขุมวิท 55,J39
ศรีอุดม,2,2,70.84933603801875,50.0,ศรีนครินทร์ / อุดมสุข,J40
เพชรบุรี - ทองหล่อ,2,2,70.7528239684735,50.0,ทองหล่อ / เพชรบุรี,J41
ลำสาลี,2,2,70.17821767783448,50.0,รามคำแหง / ศรีนครินทร์,J42
กรุงเทพกรีฑา 20,2,3,69.942712282053,33.333333333333336,กรุงเทพกรีฑา / กรุงเทพกรีฑา 20 / กรุงเทพกรีฑา 37,J43
ตลาดวงศกร,2,3,69.11946738210621,33.333333333333336,ทางเข้าออกตลาดวงศกร / สายไหม / เฉลิมพงษ์,J44
ผ่านฟ้าลีลาศ,2,6,68.31162131544907,16.666666666666668,นครสวรรค์ / บริพัตร / ปรินายก / ราชดำเนินกลาง / ราชดำเนินนอก / หลานหลวง,J45
บางบอน 3 ซอย 5,2,3,68.09615320170239,33.333333333333336,บางบอน 3 / บางบอน 3 ซอย 10 / บางบอน 3 ซอย 5,J46
หทัยราษฎร์ - หทัยมิตร,2,2,67.15437210288134,50.0,หทัยมิตร / หทัยราษฎร์,J47
การเรือน,2,2,66.90059473443488,50.0,นครราชสีมา / ราชวิถี,J48
บางรัก,2,3,66.56749189386652,33.333333333333336,สีลม / เจริญกรุง / เจริญกรุง 42,J49
สาธุ - จันทน์,2,2,65.75506401632725,50.0,จันทน์ / สาธุประดิษฐ์,J50
สามแยกบางกะปิ,3,2,65.5492803789397,50.0,ลาดพร้าว / ศรีนครินทร์,J51
เย็นอากาศ,2,3,64.31791032319467,33.333333333333336,จันทน์ / นางลิ้นจี่ / เย็นอากาศ,J52
ประชาเกษม,2,3,64.0244600983296,33.333333333333336,กรุงเกษม / นครราชสีมา / ประชาธิปไตย,J53
พหลโยธิน - เทพรักษ์,2,2,63.957478799278555,50.0,พหลโยธิน / เทพรักษ์,J54
ใต้ด่วนพระราม 4,2,3,63.890541344437835,33.333333333333336,ทางพิเศษเฉลิมมหานคร / พระรามที่ 4 / เชื้อเพลิง,J55
หลักสี่,2,2,63.7711930628643,50.0,กำแพงเพชร 6 / แจ้งวัฒนะ,J56
สะพานควาย,2,3,63.55864524952231,33.333333333333336,ประดิพัทธ์ / พหลโยธิน / สุทธิสาร,J57
ตึกชัย,2,2,63.52657255446211,50.0,พระรามที่ 6 / ราชวิถี,J58
สวนหลวง,2,2,63.364339581446316,50.0,ศรีนครินทร์ / อ่อนนุช,J59
สี่แยกลาดหญ้า,2,2,62.01137204411328,50.0,ท่าดินแดง / อิสรภาพ,J60
เกียกกาย,2,3,61.07829116144619,33.333333333333336,ทหาร / ประชาราษฎร์สาย 1 / สามเสน,J61
นิด้า,3,2,60.56828391734052,50.0,ศรีบูรพา / เสรีไทย,J62
ราชดำริ,2,2,60.31463250975635,50.0,ราชดำริ / สารสิน,J63
สาทร - นราธิวาส,2,2,60.245012250612525,50.0,นราธิวาสราชนครินทร์ / สาทร,J64
พระรามที่ 2,3,2,59.647130753777624,50.0,พระรามที่ 2 / สุขสวัสดิ์,J65
บางพลัด,2,3,59.352880868436806,33.333333333333336,จรัญสนิทวงศ์ / ราชวิถี / สิรินธร,J66
เลียบคลองภาษีเจริญฝั่งเหนือ - เพชรเกษม 81,2,2,59.15766537921585,50.0,เพชรเกษม 81 / เลียบคลองภาษีเจริญฝั่งเหนือ,J67
บุคคโล,2,2,58.7973521407753,50.0,มไหสวรรย์ / เจริญนคร,J68
หมอมี,2,3,58.772187266228194,33.333333333333336,ทรงสวัสดิ์ / พระรามที่ 4 / เจริญกรุง,J69
ปทุมวัน,3,2,58.585585585585584,50.0,พญาไท / พระรามที่ 1,J70
พญาไท,3,2,58.51522676774278,50.0,พญาไท / ศรีอยุธยา,J71
วิทยุ - เพชร,2,3,58.41276641319482,33.333333333333336,วิทยุ - ทางขึ้นลงทางด่วน / เพชรบุรี / เพชรบุรี 37 - ทางลงทางด่วน,J72
มิตรไมตรี - มิตรไมตรี 2,2,2,58.13540462427746,50.0,มิตรไมตรี / มิตรไมตรี 2,J73
จักรพรรดิพงษ์,2,2,57.820783207042204,50.0,จักรพรรดิพงษ์ / นครสวรรค์,J74
มไหสวรรย์,2,3,57.70431609294071,33.333333333333336,มไหสวรรย์ / รัชดาภิเษก / สมเด็จพระเจ้าตากสิน,J75
