intersection,survey_date,road,share_pct
กรุงธนบุรีใต้,2024-02-29,กรุงธนบุรี,19.388830347734455
กรุงธนบุรีใต้,2024-02-29,เจริญนคร,80.61116965226554
กรุงธนบุรีใต้,2025-12-15,กรุงธนบุรี,14.527845036319611
กรุงธนบุรีใต้,2025-12-15,เจริญนคร,85.4721549636804
กรุงเทพกรีฑา 20,2023-11-13,กรุงเทพกรีฑา,72.78172968925496
กรุงเทพกรีฑา 20,2023-11-13,กรุงเทพกรีฑา 20,21.26544365406215
กรุงเทพกรีฑา 20,2023-11-13,กรุงเทพกรีฑา 37,5.95282665668289
กรุงเทพกรีฑา 20,2024-02-07,กรุงเทพกรีฑา,67.10369487485102
กรุงเทพกรีฑา 20,2024-02-07,กรุงเทพกรีฑา 20,23.91736193881605
กรุงเทพกรีฑา 20,2024-02-07,กรุงเทพกรีฑา 37,8.978943186332936
กษัตริย์ศึก,2024-10-28,กรุงเกษม,7.603001557411865
กษัตริย์ศึก,2024-10-28,บำรุงเมือง,92.39699844258814
กษัตริย์ศึก,2025-12-30,กรุงเกษม,9.920704845814978
กษัตริย์ศึก,2025-12-30,บำรุงเมือง,90.07929515418502
การเรือน,2023-03-01,นครราชสีมา,62.661184825266304
การเรือน,2023-03-01,ราชวิถี,37.338815174733696
การเรือน,2025-12-01,นครราชสีมา,71.14000464360343
การเรือน,2025-12-01,ราชวิถี,28.85999535639656
กำแพงเพชร,2023-03-03,กำแพงเพชร,27.27136544079095
กำแพงเพชร,2023-03-03,พหลโยธิน,69.59778293760766
กำแพงเพชร,2023-03-03,พหลโยธิน 18,3.1308516216013786
กำแพงเพชร,2025-06-30,กำแพงเพชร,22.34234234234234
กำแพงเพชร,2025-06-30,พหลโยธิน,76.32132132132132
กำแพงเพชร,2025-06-30,พหลโยธิน 18,1.3363363363363363
ค.ป.อ.,2023-10-02,จันทรุเบกษา,30.55416458020364
ค.ป.อ.,2023-10-02,ธูปเตมีย์,17.40944750459022
ค.ป.อ.,2023-10-02,พหลโยธิน,52.03638791520614
ค.ป.อ.,2025-09-02,จันทรุเบกษา,35.3025693035835
ค.ป.อ.,2025-09-02,ธูปเตมีย์,9.660243407707911
ค.ป.อ.,2025-09-02,พหลโยธิน,55.03718728870859
คลองสาน,2023-01-20,ลาดหญ้า,31.958152388472165
คลองสาน,2023-01-20,สมเด็จเจ้าพระยา,26.253454401894988
คลองสาน,2023-01-20,เจริญนคร,41.788393209632844
คลองสาน,2024-01-05,ลาดหญ้า,23.44037635508284
คลองสาน,2024-01-05,สมเด็จเจ้าพระยา,29.965228062998566
คลองสาน,2024-01-05,เจริญนคร,46.59439558191859
คลองสาน,2025-03-03,ลาดหญ้า,29.593730666116723
คลองสาน,2025-03-03,สมเด็จเจ้าพระยา,29.861827180862033
คลองสาน,2025-03-03,เจริญนคร,40.544442153021244
คลองเตย,2023-11-21,พระรามที่ 4,72.55918195825745
คลองเตย,2023-11-21,สุนทรโกษา,27.440818041742542
คลองเตย,2025-05-19,พระรามที่ 4,74.36437246963563
คลองเตย,2025-05-19,สุนทรโกษา,25.635627530364374
จักรพรรดิพงษ์,2023-09-27,จักรพรรดิพงษ์,57.568296400515884
จักรพรรดิพงษ์,2023-09-27,นครสวรรค์,42.43170359948411
จักรพรรดิพงษ์,2025-05-21,จักรพรรดิพงษ์,58.073270013568525
จักรพรรดิพงษ์,2025-05-21,นครสวรรค์,41.926729986431475
จันทน์ - เจริญราษฎร์,2023-04-26,จันทน์,29.848193286294634
จันทน์ - เจริญราษฎร์,2023-04-26,เจริญราษฎร์,70.15180671370537
จันทน์ - เจริญราษฎร์,2024-06-18,จันทน์,22.959912597697286
จันทน์ - เจริญราษฎร์,2024-06-18,เจริญราษฎร์,77.04008740230272
จันทิมา,2023-07-18,ลาดพร้าว,88.96137787056368
จันทิมา,2023-07-18,ลาดพร้าว 80,11.038622129436327
จันทิมา,2024-11-15,ลาดพร้าว,94.56036541056784
จันทิมา,2024-11-15,ลาดพร้าว 80,5.43963458943216
ตลาดวงศกร,2023-09-25,ทางเข้าออกตลาดวงศกร,8.423559982676483
ตลาดวงศกร,2023-09-25,สายไหม,66.5872672152447
ตลาดวงศกร,2023-09-25,เฉลิมพงษ์,24.989172802078823
ตลาดวงศกร,2025-10-16,ทางเข้าออกตลาดวงศกร,6.220222339862361
ตลาดวงศกร,2025-10-16,สายไหม,71.65166754896771
ตลาดวงศกร,2025-10-16,เฉลิมพงษ์,22.12811011116993
ตึกชัย,2023-05-12,พระรามที่ 6,62.90437890974084
ตึกชัย,2023-05-12,ราชวิถี,37.095621090259165
ตึกชัย,2025-11-03,พระรามที่ 6,64.14876619918338
ตึกชัย,2025-11-03,ราชวิถี,35.851233800816615
ถนนตก,2023-03-24,พระรามที่ 3,74.37295528898582
ถนนตก,2023-03-24,เจริญกรุง,25.627044711014175
ถนนตก,2025-10-01,พระรามที่ 3,73.84724186704385
ถนนตก,2025-10-01,เจริญกรุง,26.152758132956155
ทองหล่อ,2023-06-06,สุขุมวิท,72.26192212337757
ทองหล่อ,2023-06-06,สุขุมวิท 55,27.73807787662243
ทองหล่อ,2024-07-01,สุขุมวิท,65.97868380984605
ทองหล่อ,2024-07-01,สุขุมวิท 55,34.02131619015395
ทองหล่อ,2025-11-26,สุขุมวิท,71.13071371291099
ทองหล่อ,2025-11-26,สุขุมวิท 55,28.869286287089015
ทุ่งสาธิต,2023-07-11,สุขุมวิท,86.91325978801643
ทุ่งสาธิต,2023-07-11,สุขุมวิท 101/1,13.08674021198356
ทุ่งสาธิต,2025-03-03,สุขุมวิท,82.93365794278759
ทุ่งสาธิต,2025-03-03,สุขุมวิท 101/1,17.066342057212417
ท่าพระ,2023-07-13,จรัญสนิทวงศ์,22.61073973407772
ท่าพระ,2023-07-13,รัชดาภิเษก,29.890545801807093
ท่าพระ,2023-07-13,เพชรเกษม,47.49871446411518
ท่าพระ,2024-11-29,จรัญสนิทวงศ์,18.34101382488479
ท่าพระ,2024-11-29,รัชดาภิเษก,22.73041474654378
ท่าพระ,2024-11-29,เพชรเกษม,58.92857142857143
นวมินทร์ - แฮปปี้แลนด์,2023-03-13,นวมินทร์,80.28553432710477
นวมินทร์ - แฮปปี้แลนด์,2023-03-13,แฮปปี้แลนด์,19.714465672895233
นวมินทร์ - แฮปปี้แลนด์,2024-09-18,นวมินทร์,68.96439072198628
นวมินทร์ - แฮปปี้แลนด์,2024-09-18,แฮปปี้แลนด์,31.03560927801372
นาหลวง,2024-12-15,ประชาอุทิศ (SB),43.08128132490739
นาหลวง,2024-12-15,ประชาอุทิศ (WB),29.24384397472216
นาหลวง,2024-12-15,พุทธบูชา,25.866201786881675
นาหลวง,2024-12-15,หมู่บ้านสินทวี,1.8086729134887773
นาหลวง,2025-11-10,ประชาอุทิศ (SB),30.775422591896966
นาหลวง,2025-11-10,ประชาอุทิศ (WB),29.32653608800644
นาหลวง,2025-11-10,พุทธบูชา,36.75878722833378
นาหลวง,2025-11-10,หมู่บ้านสินทวี,3.139254091762812
นิด้า,2023-03-23,ศรีบูรพา,45.32393241984835
นิด้า,2023-03-23,เสรีไทย,54.67606758015165
นิด้า,2024-08-25,ศรีบูรพา,39.43171608265948
นิด้า,2024-08-25,เสรีไทย,60.56828391734052
นิด้า,2025-08-25,ศรีบูรพา,39.43171608265948
นิด้า,2025-08-25,เสรีไทย,60.56828391734052
