intersection_key,road_key,median,q25,q75,days,months,years,zero_assumed_rows,relative_iqr,code
บรมราชชนนี,บรมราชชนนี,3304.5,3189.0,5200.5,3,3,2,0,0.6087153881071267,S01
พระโขนง,พระรามที่ 4,478.5,433.5,613.5,3,3,2,0,0.3761755485893417,S02
ราชประสงค์,พระรามที่ 1,426.0,302.25,434.5,3,3,3,0,0.3104460093896714,S03
พระรามที่ 2,สุขสวัสดิ์,3414.5,3414.5,4470.5,3,2,3,0,0.3092692927222141,S04
พญาไท,ศรีอยุธยา,4477.0,4195.25,5532.25,3,2,3,0,0.2986374804556623,S05
ราชเทวี,เพชรบุรี,4149.5,3055.0,4187.25,3,3,3,0,0.27286420050608506,S06
พระรามที่ 2,พระรามที่ 2,2310.0,2310.0,2892.5,3,2,3,0,0.25216450216450215,S07
วิทยุ - เพชร,เพชรบุรี,1933.5,1933.5,2372.25,3,2,3,0,0.2269200930954228,S08
ราชเทวี,พญาไท,3772.0,3492.25,4211.5,3,3,3,0,0.1906813361611877,S09
หน้าโรงเรียนสุเหร่าแสนแสบ,ประชาร่วมใจ,907.0,896.5,1063.5,3,3,3,0,0.18412348401323042,S10
ราชประสงค์,เพลินจิต,1999.5,1986.0,2353.5,3,3,3,0,0.1837959489872468,S11
คลองสาน,ลาดหญ้า,717.5,645.25,763.5,3,2,3,0,0.164808362369338,S12
บรมราชชนนี,จรัญสนิทวงศ์,4516.0,4158.0,4868.25,3,3,2,0,0.15727413640389726,S13
ทองหล่อ,สุขุมวิท,2477.5,2213.75,2569.25,3,3,3,0,0.14349142280524724,S14
ราชประสงค์,ราชดำริ,1969.5,1884.75,2155.25,3,3,3,0,0.13734450368113735,S15
เพลินจิต,วิทยุ,1339.0,1185.25,1349.75,3,3,2,0,0.12285287528005974,S16
นิด้า,เสรีไทย,2696.5,2375.75,2696.5,3,2,3,0,0.11895049137771185,S17
ห้วยขวาง,ประชาราษฎร์บำเพ็ญ,1163.0,1114.5,1251.0,3,3,2,0,0.1173688736027515,S18
ปทุมวัน,พญาไท,2914.5,2757.5,3083.0,3,3,3,0,0.1116829644879053,S19
สายน้ำผึ้ง,สุขุมวิท,2205.0,2112.5,2344.25,3,3,2,0,0.10510204081632653,S20
หลังสวน,สารสิน,1103.0,995.25,1103.0,3,2,2,0,0.09768812330009066,S21
นิคมอุตสาหกรรมลาดกระบัง,ฉลองกรุง,3766.0,3636.5,3924.25,3,3,2,0,0.0764073287307488,S22
เพลินจิต,เพลินจิต,3236.5,3135.5,3381.25,3,3,2,0,0.07593078943302951,S23
คลองสาน,เจริญนคร,1058.5,1020.75,1098.75,3,2,3,0,0.07368918280585735,S24
สามแยกบางกะปิ,ศรีนครินทร์,945.5,878.75,945.5,3,2,3,0,0.07059756742464304,S25
ปทุมวัน,พระรามที่ 1,2298.5,2160.25,2311.75,3,3,3,0,0.06591255166412878,S26
ทองหล่อ,สุขุมวิท 55,1005.5,978.25,1042.75,3,3,3,0,0.06414719045251119,S27
ห้วยขวาง,รัชดาภิเษก,6047.5,5856.5,6240.0,3,3,2,0,0.06341463414634146,S28
เกษมราษฎร์,เกษมราษฎร์,684.0,675.0,716.0,3,3,3,0,0.059941520467836254,S29
พญาไท,พญาไท,3174.0,3137.5,3320.0,3,2,3,0,0.057498424700693135,S30
คลองสาน,สมเด็จเจ้าพระยา,724.0,694.5,728.25,3,2,3,0,0.04661602209944751,S31
เจริญราษฎร์,เจริญราษฎร์,1179.5,1179.5,1232.5,3,2,3,0,0.04493429419245443,S32
สามแยกบางกะปิ,ลาดพร้าว,1799.0,1799.0,1878.25,3,2,3,0,0.044052251250694834,S33
เกษมราษฎร์,พระรามที่ 4,3395.0,3375.25,3480.75,3,3,3,0,0.031075110456553756,S34
หลังสวน,หลังสวน,1253.0,1216.75,1253.0,3,2,2,0,0.028930566640063847,S35
พระโขนง,สุขุมวิท,4379.0,4283.25,4387.75,3,3,2,0,0.023863895866636217,S36
นิด้า,ศรีบูรพา,1755.5,1729.5,1755.5,3,2,3,0,0.01481059527200228,S37
เจริญราษฎร์,พระรามที่ 3,6990.0,6917.0,6990.0,3,2,3,0,0.01044349070100143,S38
วิทยุ - เพชร,วิทยุ - ทางขึ้นลงทางด่วน,2727.0,2727.0,2739.25,3,2,3,0,0.004492115878254492,S39
นิคมอุตสาหกรรมลาดกระบัง,ฉลองกรุง 31,776.0,774.0,777.25,3,3,3,0,0.004188144329896907,S40
