intersection_key,road_key,passenger_car_share,pickup_van_share,large_bus_share,small_bus_share,truck_share,tuk_tuk_share,visits,code
ห้วยขวาง,รัชดาภิเษก,83.54343142715203,14.656307486923177,1.0442600876026005,0.0029417821316153323,0.5084722476922273,0.24458696849833747,3,V01
ราชเทวี,พญาไท,82.83441538554938,13.904522790773578,1.301599704865337,0.025545033599016803,0.6319108384443485,1.302006246768352,3,V02
ราชประสงค์,เพลินจิต,82.64504238049513,14.834242336990442,1.190448720388882,0.05639643728415577,0.2893638281300381,0.9845062967113479,3,V03
วิทยุ - เพชร,วิทยุ - ทางขึ้นลงทางด่วน,81.27920935126606,15.53333922848541,1.717192940042283,0.0182807466443335,0.7557855953180675,0.6961921382438484,3,V04
พญาไท,พญาไท,80.81528782708453,15.528979288731435,1.9801273802241723,0.1398122596814149,0.6239090451680459,0.9118841991103995,3,V05
บรมราชชนนี,จรัญสนิทวงศ์,79.76441471806287,16.456858109557235,1.6847293092177287,0.046182747468795554,0.6418539441833575,1.4059611715100282,3,V06
เพลินจิต,วิทยุ,79.60990898733553,17.404163325478105,1.1033100289176598,0.02469749796368009,1.0731932263884396,0.7847269339165855,3,V07
ปทุมวัน,พญาไท,79.51557527150672,14.582465728913434,3.1411841772096043,0.03450679405959129,0.5962537867887024,2.130014241521945,3,V08
เพลินจิต,เพลินจิต,79.28795073222193,17.774155911162133,1.4429133144318118,0.11381262425784322,0.3282671839653006,1.052900233960978,3,V09
ราชประสงค์,ราชดำริ,78.93805125016823,15.999805366959329,2.780424842558736,0.5625878960474061,0.4595600131103703,1.2595706311559314,3,V10
ราชเทวี,เพชรบุรี,78.04492665178037,17.111455922336834,2.1488642243558043,0.13966175361624758,0.33107369483629406,2.2240177530744556,3,V11
พญาไท,ศรีอยุธยา,77.4961606682271,20.58989904880812,0.5907308684644313,0.034040610367311645,0.5678344041503955,0.7213343999826322,3,V12
ทองหล่อ,สุขุมวิท 55,77.44203154605118,20.960540744602355,0.22573704093157299,0.0,0.894079452252011,0.4776112161628781,3,V13
เกษมราษฎร์,พระรามที่ 4,76.72921081534194,19.778102666513174,1.2055418616672964,0.0,0.9612397334686644,1.3259049230089326,3,V14
ปทุมวัน,พระรามที่ 1,76.55403322128095,16.522065585056918,3.996072288774908,0.02150537634408602,0.4917311585559378,2.4145923699872,3,V15
เจริญราษฎร์,พระรามที่ 3,76.42172572936151,20.512746494045235,0.8406355186655842,0.004768717215069147,1.7873784792335046,0.432745061479105,3,V16
เกษมราษฎร์,เกษมราษฎร์,76.14227652927343,20.87543496212227,0.9668689235252703,0.0,1.0328439895003363,0.9825755955786916,3,V17
นิด้า,ศรีบูรพา,75.93466921618949,21.65713075689746,1.7924712612304807,0.0,0.4235308817820555,0.19219788390051798,3,V18
