source_excel_row,covid_period,intersection,road,report_year,report_month,report_day,survey_date_parsed,time_key,has_assumed_zero
215,ก่อนโควิด,พัฒนาการ,ศรีนครินทร์,2017,4,20,2017-04-20,07:00-09:00,False
218,ก่อนโควิด,พัฒนาการ,พัฒนาการ,2017,4,20,2017-04-20,07:00-09:00,False
1985,ก่อนโควิด,อุรุพงษ์,พระรามที่6,2018,5,8,2018-05-08,07:00-09:00,False
1988,ก่อนโควิด,อุรุพงษ์,เพชรบุรี,2018,5,8,2018-05-08,07:00-09:00,False
2102,ก่อนโควิด,ราชเทวี,เพชรบุรี,2018,6,1,2018-06-01,07:00-09:00,False
2225,ก่อนโควิด,บางรัก,เจริญกรุง,2018,6,29,2018-06-29,07:00-09:00,False
2228,ก่อนโควิด,บางรัก,สีลม,2018,6,29,2018-06-29,07:00-09:00,False
2255,ก่อนโควิด,รามคำแหง,รามคำแหง,2018,7,6,2018-07-06,07:00-09:00,False
2256,ก่อนโควิด,รามคำแหง,รามคำแหง,2018,7,6,2018-07-06,09:00-16:00,False
2257,ก่อนโควิด,รามคำแหง,รามคำแหง,2018,7,6,2018-07-06,16:00-19:00,False
2258,ก่อนโควิด,รามคำแหง,พระราม9,2018,7,6,2018-07-06,07:00-09:00,False
2259,ก่อนโควิด,รามคำแหง,พระราม9,2018,7,6,2018-07-06,09:00-16:00,False
2260,ก่อนโควิด,รามคำแหง,พระราม9,2018,7,6,2018-07-06,16:00-19:00,False
3080,ก่อนโควิด,ศรีอยุธยา,พระรามที่6,2018,12,21,2018-12-21,07:00-09:00,False
3083,ก่อนโควิด,ศรีอยุธยา,ศรีอยุธยา,2018,12,21,2018-12-21,07:00-09:00,False
3650,ก่อนโควิด,พัฒนาการ,ศรีนครินทร์,2019,4,4,2019-04-04,07:00-09:00,False
3653,ก่อนโควิด,พัฒนาการ,พัฒนาการ,2019,4,4,2019-04-04,07:00-09:00,False
4361,ก่อนโควิด,คอกวัว,ตะนาว,2019,9,11,2019-09-11,07:00-09:00,False
4364,ก่อนโควิด,คอกวัว,ราชดำเนินกลาง,2019,9,11,2019-09-11,07:00-09:00,False
4901,ก่อนโควิด,ห้วยขวาง,รัชดาภิเษก,2019,12,24,2019-12-24,07:00-09:00,False
5436,โควิด,รามคำแหง,รามคำแหง,2020,7,1,2020-07-01,07:00-09:00,False
5437,โควิด,รามคำแหง,พระราม9,2020,7,1,2020-07-01,07:00-09:00,False
5438,โควิด,รามคำแหง,รามคำแหง,2020,7,1,2020-07-01,16:00-19:00,False
5439,โควิด,รามคำแหง,พระราม9,2020,7,1,2020-07-01,16:00-19:00,False
