intersection_key,road_key,report_quarter,time_key,ก่อนโควิด,โควิด,หลังโควิด
BRTสถานีสาทร,นราธิวาสราชนครินทร์,2,07:00-09:00,0,0,1
BRTสถานีสาทร,นราธิวาสราชนครินทร์,2,09:00-17:00,0,0,1
BRTสถานีสาทร,นราธิวาสราชนครินทร์,2,17:00-19:00,0,0,1
YMCA,ศาลาแดง,1,07:00-09:00,1,0,0
YMCA,ศาลาแดง,1,09:00-16:00,1,0,0
YMCA,ศาลาแดง,1,16:00-19:00,1,0,0
YMCA,สาทร,1,07:00-09:00,1,0,0
YMCA,สาทร,1,09:00-16:00,1,0,0
YMCA,สาทร,1,16:00-19:00,1,0,0
ก.ม.8,ซอยรามอินทรา73,2,07:00-09:00,1,0,0
ก.ม.8,ซอยรามอินทรา73,2,09:00-16:00,1,0,0
ก.ม.8,ซอยรามอินทรา73,2,16:00-19:00,1,0,0
ก.ม.8,ซอยรามอินทรา73,4,07:00-09:00,1,0,0
ก.ม.8,ซอยรามอินทรา73,4,09:00-16:00,1,0,0
ก.ม.8,ซอยรามอินทรา73,4,16:00-19:00,1,0,0
ก.ม.8,นวมินทร์,2,07:00-09:00,1,0,0
ก.ม.8,นวมินทร์,2,09:00-16:00,1,0,0
ก.ม.8,นวมินทร์,2,16:00-19:00,1,0,0
ก.ม.8,นวมินทร์,4,07:00-09:00,1,0,0
ก.ม.8,นวมินทร์,4,09:00-16:00,1,0,0
ก.ม.8,นวมินทร์,4,16:00-19:00,1,0,0
ก.ม.8,รามอินทรา,2,07:00-09:00,1,0,0
ก.ม.8,รามอินทรา,2,09:00-16:00,1,0,0
ก.ม.8,รามอินทรา,2,16:00-19:00,1,0,0
ก.ม.8,รามอินทรา,4,07:00-09:00,1,0,0
ก.ม.8,รามอินทรา,4,09:00-16:00,1,0,0
ก.ม.8,รามอินทรา,4,16:00-19:00,1,0,0
กทม.1,ดินสอ,4,07:00-09:00,0,0,1
กทม.1,ดินสอ,4,09:00-16:00,0,0,1
กทม.1,ดินสอ,4,16:00-19:00,0,0,1
กทม.1,มหรรณพ,4,07:00-09:00,0,0,1
กทม.1,มหรรณพ,4,09:00-16:00,0,0,1
กทม.1,มหรรณพ,4,16:00-19:00,0,0,1
กม.8,นวมินทร์,1,07:00-09:00,0,0,1
กม.8,นวมินทร์,1,09:00-17:00,0,0,1
กม.8,นวมินทร์,1,17:00-19:00,0,0,1
กม.8,นวมินทร์,2,07:00-09:00,0,0,1
กม.8,นวมินทร์,2,09:00-16:00,0,0,1
กม.8,นวมินทร์,2,16:00-19:00,0,0,1
กม.8,รามอินทรา,1,07:00-09:00,0,0,1
กม.8,รามอินทรา,1,09:00-17:00,0,0,1
กม.8,รามอินทรา,1,17:00-19:00,0,0,1
กม.8,รามอินทรา,2,07:00-09:00,0,0,1
กม.8,รามอินทรา,2,09:00-16:00,0,0,1
กม.8,รามอินทรา,2,16:00-19:00,0,0,1
กม.8,รามอินทรา73,1,07:00-09:00,0,0,1
กม.8,รามอินทรา73,1,09:00-17:00,0,0,1
กม.8,รามอินทรา73,1,17:00-19:00,0,0,1
กม.8,รามอินทรา73,2,07:00-09:00,0,0,1
กม.8,รามอินทรา73,2,09:00-16:00,0,0,1
กม.8,รามอินทรา73,2,16:00-19:00,0,0,1
กรมพลาธกิารทหารอากาศ,ซอยพลโยธนิ54/1,3,07:00-09:00,0,1,0
กรมพลาธกิารทหารอากาศ,ซอยพลโยธนิ54/1,3,09:00-16:00,0,1,0
กรมพลาธกิารทหารอากาศ,ซอยพลโยธนิ54/1,3,16:00-19:00,0,1,0
กรมพลาธกิารทหารอากาศ,ทางเข้าพลาธิการทอ.,3,07:00-09:00,0,1,0
กรมพลาธกิารทหารอากาศ,ทางเข้าพลาธิการทอ.,3,09:00-16:00,0,1,0
กรมพลาธกิารทหารอากาศ,ทางเข้าพลาธิการทอ.,3,16:00-19:00,0,1,0
กรมพลาธกิารทหารอากาศ,พหลโยธิน,3,07:00-09:00,0,1,0
กรมพลาธกิารทหารอากาศ,พหลโยธิน,3,09:00-16:00,0,1,0
กรมพลาธกิารทหารอากาศ,พหลโยธิน,3,16:00-19:00,0,1,0
กรมพลาธิการทหารอากาศ,ซอยพลโยธิน54/1,3,07:00-09:00,0,1,0
กรมพลาธิการทหารอากาศ,ซอยพลโยธิน54/2,3,09:00-16:00,0,1,0
กรมพลาธิการทหารอากาศ,ซอยพลโยธิน54/3,3,16:00-19:00,0,1,0
กรมพลาธิการทหารอากาศ,ทางเข้ากรมพลาธิการฯ,4,07:00-09:00,0,0,1
กรมพลาธิการทหารอากาศ,ทางเข้ากรมพลาธิการฯ,4,09:00-17:00,0,0,1
กรมพลาธิการทหารอากาศ,ทางเข้ากรมพลาธิการฯ,4,17:00-19:00,0,0,1
